case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
0	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m000	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	0	not_applicable	12594521295540922041	golovin_fixed10_screen_N004096_v1
1	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m001	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	1	not_applicable	15846681809592319384	golovin_fixed10_screen_N004096_v1
2	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m002	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	2	not_applicable	17201158714505166797	golovin_fixed10_screen_N004096_v1
3	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m003	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	3	not_applicable	11739007273041387844	golovin_fixed10_screen_N004096_v1
4	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m004	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	4	not_applicable	10594059788173616910	golovin_fixed10_screen_N004096_v1
5	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m005	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	5	not_applicable	3856919673978143390	golovin_fixed10_screen_N004096_v1
6	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m006	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	6	not_applicable	17221546107431665636	golovin_fixed10_screen_N004096_v1
7	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m007	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	7	not_applicable	2636603734505848380	golovin_fixed10_screen_N004096_v1
8	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m008	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	8	not_applicable	2766664581121497555	golovin_fixed10_screen_N004096_v1
9	golovin_fixed10_high_resolution_screen_v1_N004096_dt0p1_m009	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	9	not_applicable	16344193145742916523	golovin_fixed10_screen_N004096_v1
10	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m000	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	0	not_applicable	14554753820645838184	golovin_fixed10_screen_N008192_v1
11	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m001	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	1	not_applicable	5939729256671945158	golovin_fixed10_screen_N008192_v1
12	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m002	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	2	not_applicable	13316416451650224257	golovin_fixed10_screen_N008192_v1
13	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m003	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	3	not_applicable	7515512390383078927	golovin_fixed10_screen_N008192_v1
14	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m004	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	4	not_applicable	5263034494068156977	golovin_fixed10_screen_N008192_v1
15	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m005	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	5	not_applicable	8526997017014785360	golovin_fixed10_screen_N008192_v1
16	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m006	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	6	not_applicable	4408362679840530047	golovin_fixed10_screen_N008192_v1
17	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m007	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	7	not_applicable	16271507921133125320	golovin_fixed10_screen_N008192_v1
18	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m008	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	8	not_applicable	1211702416038727732	golovin_fixed10_screen_N008192_v1
19	golovin_fixed10_high_resolution_screen_v1_N008192_dt0p1_m009	golovin_fixed10_high_resolution_screen_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	9	not_applicable	17430563189142542267	golovin_fixed10_screen_N008192_v1
