case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
0	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m000	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	0	not_applicable	6663760225077556826	golovin_fixed50_extended_N004096_v1
1	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m001	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	1	not_applicable	5159214854084552935	golovin_fixed50_extended_N004096_v1
2	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m002	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	2	not_applicable	10167806140147078159	golovin_fixed50_extended_N004096_v1
3	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m003	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	3	not_applicable	12365403304349526772	golovin_fixed50_extended_N004096_v1
4	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m004	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	4	not_applicable	11066801166683923404	golovin_fixed50_extended_N004096_v1
5	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m005	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	5	not_applicable	15414971106163337652	golovin_fixed50_extended_N004096_v1
6	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m006	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	6	not_applicable	4426894947628385802	golovin_fixed50_extended_N004096_v1
7	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m007	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	7	not_applicable	1024059266512974336	golovin_fixed50_extended_N004096_v1
8	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m008	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	8	not_applicable	4708877288800091386	golovin_fixed50_extended_N004096_v1
9	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m009	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	9	not_applicable	8365459447913219447	golovin_fixed50_extended_N004096_v1
10	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m010	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	10	not_applicable	1638167887492394093	golovin_fixed50_extended_N004096_v1
11	golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m011	golovin_fixed50_extended_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	11	not_applicable	10870373631946808542	golovin_fixed50_extended_N004096_v1
