case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
0	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m000	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	0	2214872616	6663760225077556826	not_applicable
1	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m001	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	1	2362758609	5159214854084552935	not_applicable
2	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m002	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	2	4153926055	10167806140147078159	not_applicable
3	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m003	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	3	1687198109	12365403304349526772	not_applicable
4	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m004	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	4	497510557	11066801166683923404	not_applicable
5	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m005	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	5	131147746	15414971106163337652	not_applicable
6	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m006	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	6	80713148	4426894947628385802	not_applicable
7	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m007	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	7	2779212156	1024059266512974336	not_applicable
8	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m008	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	8	1116678503	4708877288800091386	not_applicable
9	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m009	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	9	3268581985	8365459447913219447	not_applicable
10	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m010	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	10	2671112297	1638167887492394093	not_applicable
11	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m011	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	11	1038117294	10870373631946808542	not_applicable
12	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m012	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	12	2210751306	15535028385399854742	not_applicable
13	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m013	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	13	616573568	8855132476925112230	not_applicable
14	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m014	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	14	3249247460	1294412014270794163	not_applicable
15	golovin_unfrozen_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m015	golovin_unfrozen_fixed50_extended_resolution_convergence_v1	operational_stochastic	golovin	4096	0.1	600.0	3600.0	1	15	3052466761	11710185108685380236	not_applicable
