lower_members,middle_members,upper_members,additional_members,projected_additional_cpu_hours,projected_additional_zarr_gb,maximum_projected_upper_bound
1000,295,160,1155,50.029583333333335,80.85201456,0.009998480271858668
975,300,160,1135,49.41395833333333,79.45197968,0.009999657638986194
955,305,155,1115,48.43118055555556,78.05194478,0.009997250817922694
935,310,155,1100,47.99548611111111,77.00191862,0.00999664234331761
915,315,150,1080,47.012708333333336,75.60188372,0.009997858249640508
900,320,150,1070,46.75694444444444,74.90186628,0.00999430233980953
880,325,145,1050,45.774166666666666,73.50183138,0.009998971316486879
865,330,145,1040,45.51840277777778,72.80181394,0.009998392069029638
850,335,140,1025,44.715555555555554,71.75178776,0.00999920065097121
840,340,140,1020,44.639722222222225,71.40177904,0.009993795643575696
825,345,140,1010,44.38395833333333,70.7017616,0.009997141064135524
815,350,135,1000,43.761041666666664,70.00174414,0.009993816725288932
800,355,135,990,43.50527777777778,69.3017267,0.00999972103030377
790,360,135,985,43.42944444444444,68.95171798,0.009998472410015296
780,365,130,975,42.80652777777778,68.25170052,0.00999968199548558
770,370,130,970,42.730694444444445,67.9016918,0.009998762266083205
765,375,130,970,42.83479166666667,67.9016918,0.009991109206608131
755,380,130,965,42.75895833333333,67.55168308,0.009993326496924899
745,385,125,955,42.136041666666664,66.85166562,0.009999941809971673
740,390,125,955,42.240138888888886,66.85166562,0.009990698197777238
730,395,125,950,42.16430555555556,66.5016569,0.009995416590865377
725,400,125,950,42.26840277777778,66.5016569,0.009990823952532406
715,405,125,945,42.192569444444445,66.15164818,0.009997113625902772
710,410,120,940,41.749583333333334,65.80163944,0.009998376102388438
705,415,120,940,41.853680555555556,65.80163944,0.009990698942554235
695,420,120,935,41.77784722222222,65.45163072,0.009999192747611312
690,425,120,935,41.88194444444444,65.45163072,0.009997335400439995
685,430,120,935,41.986041666666665,65.45163072,0.009995942233896299
680,435,120,935,42.09013888888889,65.45163072,0.009995006779554328
675,440,115,930,41.64715277777778,65.10162198,0.009999251942792619
670,445,115,930,41.75125,65.10162198,0.009994485393053712
665,450,115,930,41.85534722222222,65.10162198,0.00999488873344509
660,455,115,930,41.95944444444444,65.10162198,0.009995728300866182
655,460,115,930,42.063541666666666,65.10162198,0.009996999745320107
650,465,115,930,42.16763888888889,65.10162198,0.009998699099102431
650,470,115,935,42.45166666666667,65.4516307,0.009988079838595256
645,475,115,935,42.55576388888889,65.4516307,0.009990431477127769
640,480,110,930,42.11277777777778,65.10162196,0.009996692981726276
635,485,110,930,42.216875,65.10162196,0.009996376233659884
630,490,110,930,42.320972222222224,65.10162196,0.009999964393311477
630,495,110,935,42.605,65.45163068,0.009990399145054908
625,500,110,935,42.70909722222222,65.45163068,0.009994593641330908
620,505,110,935,42.81319444444444,65.45163068,0.00999918894768
620,510,110,940,43.09722222222222,65.8016394,0.009990179940961564
615,515,110,940,43.201319444444444,65.8016394,0.009995358331387283
615,520,110,945,43.485347222222224,66.15164812,0.009986688125651816
