lower_max_superdroplets,upper_max_superdroplets,time_s,metric,point_change,minimum_worthwhile_improvement,point_change_can_ever_pass_fixed_margin,lower_variance_coefficient,upper_variance_coefficient,current_members_each,current_percentile_bootstrap_upper_bound,current_normal_projection_upper_bound,normal_projection_minus_bootstrap,normal_quantile,confidence_level
32768,65536,600.0,ensemble_mean_l1,0.003275225346898246,0.01,True,9.698468147783954e-05,4.281957590348227e-05,100,0.0062914516300227805,0.005220081365766238,-0.0010713702642565423,1.6448536269514722,0.95
32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,0.0011968786993916602,0.01,True,6.005234548088912e-05,2.0003084328605298e-05,100,0.0026568180782668743,0.0026685900980220863,1.177201975521196e-05,1.6448536269514722,0.95
32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0015693116556471762,0.01,True,0.00034449364656207414,0.00020518002753963681,100,0.005606531711187683,0.00542569080045965,-0.00018084091072803274,1.6448536269514722,0.95
32768,65536,1200.0,ensemble_mean_l1,0.001716972726081489,0.01,True,8.76622957542607e-05,4.4723436866364405e-05,100,0.005119770356235085,0.003609524845066215,-0.0015102455111688697,1.6448536269514722,0.95
32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,0.0002613320879481129,0.01,True,9.079437025301736e-05,3.6263613698982374e-05,100,0.0022364222495880677,0.002115411095897593,-0.0001210111536904747,1.6448536269514722,0.95
32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.002898254624317985,0.01,True,0.0007371859511817269,0.0003914919612913376,100,0.008399291243108776,0.008424272302423598,2.498105931482246e-05,1.6448536269514722,0.95
32768,65536,1800.0,ensemble_mean_l1,0.0010301634570923871,0.01,True,7.250695414880459e-05,4.33607740541357e-05,100,0.004319883095312984,0.0028007147090486004,-0.0015191683862643838,1.6448536269514722,0.95
32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,0.0013144739564108854,0.01,True,0.00011179692027897194,4.0963746460291176e-05,100,0.003403244748634103,0.0033474535970852925,-5.579115154881074e-05,1.6448536269514722,0.95
32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.001921792312023036,0.01,True,0.0013468353974722548,0.0005328770126312484,100,0.009186500858396287,0.009053162171129663,-0.00013333868726662403,1.6448536269514722,0.95
32768,65536,2400.0,ensemble_mean_l1,0.0020857004637890204,0.01,True,9.381478190530182e-05,5.03277915606222e-05,100,0.0055997653012494035,0.004060501709730489,-0.0015392635915189145,1.6448536269514722,0.95
32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,0.0013759805610155185,0.01,True,0.00012201587608039206,5.1380873880188745e-05,100,0.0035524100402660958,0.0035419271019469156,-1.0482938319180193e-05,1.6448536269514722,0.95
32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0008090266183283256,0.01,True,0.0016750235384150926,0.0008144599521616628,100,0.009916961171110543,0.009015978404471912,-0.0009009827666386309,1.6448536269514722,0.95
32768,65536,3000.0,ensemble_mean_l1,0.004709922826139041,0.01,True,0.00015319520921979894,7.654989199633566e-05,100,0.008386275801390846,0.007203084182140294,-0.001183191619250552,1.6448536269514722,0.95
32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,0.0012795593290903528,0.01,True,0.00011894454566241727,5.558409968109169e-05,100,0.003466946697309402,0.00345256377906571,-1.438291824369187e-05,1.6448536269514722,0.95
32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.0023424872966727,0.01,True,0.0025756372754512247,0.0011361526804475222,100,0.0126818867227642,0.012363669371736979,-0.000318217351027222,1.6448536269514722,0.95
32768,65536,3600.0,ensemble_mean_l1,0.004423167085781419,0.01,True,0.0002083375228522298,8.348942258292162e-05,100,0.008742336523629643,0.0072330611797834215,-0.0015092753438462215,1.6448536269514722,0.95
32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,0.0014226975248670015,0.01,True,0.00012607590692514104,5.814776256086826e-05,100,0.0036185013282927355,0.0036552412379156603,3.673990962292477e-05,1.6448536269514722,0.95
32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.004719256041923263,0.01,True,0.004166642911921449,0.0018096795384043539,100,0.01752044591363594,0.017435072997605834,-8.537291603010616e-05,1.6448536269514722,0.95
65536,131072,600.0,ensemble_mean_l1,0.002100378549530689,0.01,True,4.281957590348227e-05,2.2231558639565967e-05,100,0.004099417667241847,0.0034270234577273933,-0.0006723942095144537,1.6448536269514722,0.95
65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,0.00039176421037149357,0.01,True,2.0003084328605298e-05,1.5479170958186388e-05,100,0.0013527581636356926,0.0013715538996809985,1.879573604530592e-05,1.6448536269514722,0.95
65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0011010703347986892,0.01,True,0.00020518002753963681,0.00010782494141530449,100,0.004048177505770712,0.004011136562318914,-3.7040943451797925e-05,1.6448536269514722,0.95
65536,131072,1200.0,ensemble_mean_l1,0.002587030824325414,0.01,True,4.4723436866364405e-05,2.325457553697052e-05,100,0.004375265338417918,0.00394319256423795,-0.00043207277417996875,1.6448536269514722,0.95
65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,7.071670580955925e-05,0.01,True,3.6263613698982374e-05,2.6947743616400408e-05,100,0.0015757016117664848,0.0013784669648770926,-0.00019723464688939222,1.6448536269514722,0.95
65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.0018183907002209763,0.01,True,0.0003914919612913376,0.00024068056217243545,100,0.0059079102233088425,0.005954052960024586,4.614273671574385e-05,1.6448536269514722,0.95
65536,131072,1800.0,ensemble_mean_l1,0.001354496521880532,0.01,True,4.33607740541357e-05,2.0335560673262494e-05,100,0.003436318967925339,0.002667253930816328,-0.0007690650371090109,1.6448536269514722,0.95
65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,0.00012106449846090107,0.01,True,4.0963746460291176e-05,2.941267497666432e-05,100,0.0016888419162494233,0.0015009429943489087,-0.00018789892190051462,1.6448536269514722,0.95
65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.002107265001886106,0.01,True,0.0005328770126312484,0.00029890924699602794,100,0.006785656081808026,0.00685113880916754,6.548272735951415e-05,1.6448536269514722,0.95
65536,131072,2400.0,ensemble_mean_l1,0.0013869586360599527,0.01,True,5.03277915606222e-05,2.0410401014121862e-05,100,0.0037179387829612406,0.0027703792296436235,-0.0009475595533176171,1.6448536269514722,0.95
65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,4.8743206670721624e-05,0.01,True,5.1380873880188745e-05,3.2053383432800796e-05,100,0.001783888735689765,0.0015511912381196342,-0.00023269749757013074,1.6448536269514722,0.95
