run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,0,0,not_applicable,5556426962534329778,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.2169757141199398e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m001,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,1,1,not_applicable,9422702842302939588,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.212689669851443e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m002,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,2,2,not_applicable,2462997661728145255,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.616139416211638e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m003,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,3,3,not_applicable,6883301317157315235,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.313875951427292e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m004,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,4,4,not_applicable,12559123858524931853,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.466885667435804e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m005,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,5,5,not_applicable,16722514017237813416,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.6546616016531743e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m006,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,6,6,not_applicable,17848202879261313097,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.156634287293514e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m007,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,7,7,not_applicable,15739325113162581184,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.0740061607303915e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m008,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,8,8,not_applicable,8287761169604493700,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.5442891127269718e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m009,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,9,9,not_applicable,10357277940488528252,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.0190022986810163e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m010,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,10,10,not_applicable,11680531015065977876,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.169446844391132e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m011,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,11,11,not_applicable,13403048578816263658,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.6261501862023806e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m012,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,12,12,not_applicable,10524280010282654237,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.797923892572385e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m013,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,13,13,not_applicable,8185699380485648223,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.7029511961984554e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m014,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,14,14,not_applicable,8890606015096335722,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.1608728140165567e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m015,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,15,15,not_applicable,2937220287262947230,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.46991835264987e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m016,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,16,16,not_applicable,3959578748873927022,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.1783513598782065e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m017,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,17,17,not_applicable,16013255077783280323,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.7166252297993196e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m018,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,18,18,not_applicable,10070523177964915733,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.335518972136242e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m019,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,19,19,not_applicable,15645594162331661612,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.8020782643901612e-09,1000.0,0.99
