matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative,100,100,0.0005264722796335152,2.1793283654682456e-19,2.1793283654682456e-20,0.0005264722796335152,0.0005264722796335152,0.0005264722796335152,0.0005264722796335152,4.1394930935116035e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_250,100,100,0.000890939722141792,1.0896641827341228e-19,1.0896641827341228e-20,0.000890939722141792,0.000890939722141792,0.000890939722141792,0.000890939722141792,1.2230503990938953e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_500,100,100,0.0005264722796335152,2.1793283654682456e-19,2.1793283654682456e-20,0.0005264722796335152,0.0005264722796335152,0.0005264722796335152,0.0005264722796335152,4.1394930935116035e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_1000,100,100,0.0019082031904375594,4.358656730936491e-19,4.358656730936491e-20,0.0019082031904375594,0.0019082031904375594,0.0019082031904375594,0.0019082031904375594,2.284168034504246e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,radius_moment_0_m3,100,100,8388608.0,0.0,0.0,8388608.0,8388608.0,8388608.0,8388608.0,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,radius_moment_3_um3_m3,100,100,238740390072.95688,6.134264009150464e-05,6.1342640091504645e-06,238740390072.95688,238740390072.95688,238740390072.95688,238740390072.95688,2.56942866151634e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,radius_moment_6_um6_m3,100,100,1.3588188822398416e+16,2.010075630518424,0.20100756305184242,1.3588188822398416e+16,1.3588188822398416e+16,1.3588188822398416e+16,1.3588188822398416e+16,1.4792814971816318e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_0_m3,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_3_um3_m3,100,100,2.9729423290714152e-05,0.0,0.0,2.9729423290714152e-05,2.9729423290714152e-05,2.9729423290714152e-05,2.9729423290714152e-05,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,-1.0357278715011908e-05,0.0,0.0,-1.0357278715011908e-05,-1.0357278715011908e-05,-1.0357278715011908e-05,-1.0357278715011908e-05,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,liquid_water_gm3,100,100,0.998236347391342,1.1158161231197418e-16,1.1158161231197418e-17,0.998236347391342,0.998236347391342,0.998236347391342,0.998236347391342,1.1177875119811728e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,relative_liquid_mass_drift,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_cloud_threshold,100,100,0.34284472560127666,1.1158161231197418e-16,1.1158161231197418e-17,0.34284472560127666,0.34284472560127666,0.34284472560127666,0.34284472560127666,3.2545815636009506e-16
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_large_threshold,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_onset_threshold,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,mass_weighted_radius_q99_um,100,100,57.378570556640625,0.0,0.0,57.378570556640625,57.378570556640625,57.378570556640625,57.378570556640625,0.0
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_250,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_500,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_1000,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_250,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_500,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_1000,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative,100,100,0.0467469306826052,0.0027428759074127154,0.00027428759074127156,0.046202684595446575,0.047291176769763826,0.0462011254008884,0.04728973075684636,0.058674994643730806
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_250,100,100,0.03311528290532351,0.0037678105303874773,0.00037678105303874773,0.03236766755284745,0.033862898257799576,0.032397633934619384,0.033840613065321816,0.1137786000850313
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_500,100,100,0.0467469306826052,0.0027428759074127154,0.00027428759074127156,0.046202684595446575,0.047291176769763826,0.04621777118388749,0.04727868597026006,0.058674994643730806
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_1000,100,100,0.06563373763455377,0.003327947460389955,0.00033279474603899547,0.0649734006580643,0.06629407461104324,0.06497737991603918,0.06627431263180354,0.05070482925899853
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,radius_moment_0_m3,100,100,1386286.8796001798,7158.992048516033,715.8992048516033,1384866.3802622862,1387707.3789380735,1384911.1274098323,1387688.3679434883,0.005164149032832774
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,radius_moment_3_um3_m3,100,100,238740390108.90106,87.69905202789906,8.769905202789905,238740390091.49966,238740390126.30246,238740390091.67084,238740390125.70847,3.673406581429111e-10
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,radius_moment_6_um6_m3,100,100,4.9695573488455123e+17,7686822999904581.0,768682299990458.1,4.9543050243452576e+17,4.984809673345767e+17,4.954676919700475e+17,4.984649277247955e+17,0.015467822303510235
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_relative_error_radius_moment_0_m3,100,100,-0.00023901142748986693,0.005162914742200673,0.0005162914742200673,-0.0012634457225968662,0.0007854228676171322,-0.0012281869142676156,0.000766497960916382,21.601120902135772
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_relative_error_radius_moment_3_um3_m3,100,100,2.9729573852910197e-05,3.673515754474743e-10,3.673515754474743e-11,2.9729500962387878e-05,2.9729646743432517e-05,2.9729500075445117e-05,2.972964463745337e-05,1.2356435960534786e-05
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,golovin_relative_error_radius_moment_6_um6_m3,100,100,-0.0007234679170306646,0.015456631830327316,0.0015456631830327316,-0.00379039900624723,0.0023434631721859006,-0.0036673045112088245,0.002340353156864744,21.364640319872233
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,liquid_water_gm3,100,100,0.9982363475416339,3.6669279263522757e-10,3.666927926352276e-11,0.9982363474688741,0.9982363476143937,0.9982363474682924,0.9982363476139828,3.6734065388250527e-10
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,relative_liquid_mass_drift,100,100,1.5055741098279897e-10,3.6734065381266605e-10,3.673406538126661e-11,7.7669055752606e-11,2.2344576621299194e-10,7.835027440727948e-11,2.2088192361269242e-10,2.439870952979089
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,mass_fraction_r_ge_cloud_threshold,100,100,0.9245060354814666,0.0006841303565870368,6.841303565870369e-05,0.9243702891764031,0.9246417817865301,0.9243713284783039,0.9246420869731863,0.0007399955547404876
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,mass_fraction_r_ge_large_threshold,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,mass_fraction_r_ge_onset_threshold,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,mass_weighted_radius_q99_um,100,100,234.70793106079103,2.29664687746667,0.22966468774666698,234.25222649418328,235.16363562739878,234.2760521736145,235.15394793701174,0.009785126847169992
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_below_range_fraction,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_above_range_fraction,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_below_range_fraction_bins_250,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_below_range_fraction_bins_500,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_below_range_fraction_bins_1000,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_above_range_fraction_bins_250,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_above_range_fraction_bins_500,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1200.0000476837158,fixed_bin_mass_above_range_fraction_bins_1000,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1500.0,golovin_fixed_bin_l1_relative,100,100,0.047584955329875965,0.003533258062242047,0.00035332580622420473,0.04688388027573296,0.04828603038401897,0.046914165762001955,0.048280712845608934,0.07425157883932508
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1500.0,golovin_fixed_bin_l1_relative_bins_250,100,100,0.03412942097221449,0.0037445105200432658,0.00037445105200432656,0.03338642884728814,0.03487241309714084,0.03341474781839058,0.03485299527125687,0.10971503217390514
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1500.0,golovin_fixed_bin_l1_relative_bins_500,100,100,0.047584955329875965,0.003533258062242047,0.00035332580622420473,0.04688388027573296,0.04828603038401897,0.04690319051081328,0.04828652533152741,0.07425157883932508
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1500.0,golovin_fixed_bin_l1_relative_bins_1000,100,100,0.06660621234347933,0.0033159325426606223,0.00033159325426606223,0.0659482593873329,0.06726416529962576,0.06594646037987797,0.06724387607872971,0.0497841331310179
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1500.0,radius_moment_0_m3,100,100,883814.2881913993,4740.241080352714,474.02410803527135,882873.7215207751,884754.8548620235,882897.2831993082,884742.0510534393,0.005363390413220118
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1500.0,radius_moment_3_um3_m3,100,100,238740390107.40762,89.0099373452609,8.90099373452609,238740390089.74612,238740390125.06912,238740390089.89688,238740390124.75922,3.728314982865528e-10
golovin_controlled_high_resolution_convergence_v1,controlled,golovin,131072,0.1,300.0,3600.0,1500.0,radius_moment_6_um6_m3,100,100,1.2223038157803917e+18,2.090596825142909e+16,2090596825142908.8,1.2181556181210104e+18,1.226452013439773e+18,1.2181916682154757e+18,1.2263281196135457e+18,0.017103741296987992
