lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_n_members,upper_n_members,estimated_difference_lower_minus_upper,95ci_low,95ci_high,equivalence_margin,equivalence_pass
16384,32768,600.0,ensemble_mean_l1_bins_250,100,100,0.0037839548996682713,0.0011868284999924632,0.0074915489962960515,0.01,True
16384,32768,600.0,ensemble_mean_l1_bins_500,100,100,0.003683629285226267,0.001974260879940491,0.008544712605431047,0.01,True
16384,32768,600.0,ensemble_mean_l1_bins_1000,100,100,0.007187941311465525,0.004958341445552438,0.01228772488915293,0.01,False
16384,32768,600.0,golovin_relative_error_radius_moment_0_m3,100,100,-0.0016834850571775107,-0.004187047413510241,0.0008200772991552195,0.05,True
16384,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.0067941630886831535,0.00037212226462578213,0.013216203912740525,0.05,True
16384,32768,1200.0,ensemble_mean_l1_bins_250,100,100,0.0016105810882711862,0.00036630572758434237,0.006445279343352578,0.01,True
16384,32768,1200.0,ensemble_mean_l1_bins_500,100,100,0.003487794493129538,0.0021633254534405644,0.008547424156671849,0.01,True
16384,32768,1200.0,ensemble_mean_l1_bins_1000,100,100,0.0056107889230538645,0.00413045601231076,0.011261224293092321,0.01,False
16384,32768,1200.0,golovin_relative_error_radius_moment_0_m3,100,100,-9.22755728984781e-05,-0.003155342443252851,0.002970791297455895,0.05,True
16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.004137171832974636,-0.005042968170598452,0.013317311836547724,0.05,True
16384,32768,1800.0,ensemble_mean_l1_bins_250,100,100,0.0024869951989936745,0.0011837817853152881,0.006839607680542308,0.01,True
16384,32768,1800.0,ensemble_mean_l1_bins_500,100,100,0.005758083675983527,0.003884844635763691,0.009993355910389823,0.01,True
16384,32768,1800.0,ensemble_mean_l1_bins_1000,100,100,0.006264392052603299,0.005361919882609051,0.012290152680621901,0.01,False
16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,100,100,-0.00010909308314846489,-0.0034999265885335543,0.0032817404222366246,0.05,True
16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.003132103493788103,-0.008333304076619325,0.014597511064195531,0.05,True
16384,32768,2400.0,ensemble_mean_l1_bins_250,100,100,0.0029725382646921487,0.0011901534580444153,0.007355893925684487,0.01,True
16384,32768,2400.0,ensemble_mean_l1_bins_500,100,100,0.004934841981008785,0.003123577053886577,0.009686701624588002,0.01,True
16384,32768,2400.0,ensemble_mean_l1_bins_1000,100,100,0.00820894346358288,0.006456901670820424,0.013471950518961972,0.01,False
16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,100,100,-0.0013305561286619638,-0.004868155206212764,0.0022070429488888358,0.05,True
16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.006629303698332082,-0.005870499708543233,0.019129107105207398,0.05,True
