lower_max_superdroplets,upper_max_superdroplets,time_s,log_radius_bins,projected_members_each_resolution,estimate_held_fixed,projected_95ci_low,projected_95ci_high,projected_largest_absolute_interval_edge,equivalence_margin,projected_equivalence_pass,projection_method
16384,32768,600.0,250,100,0.0037839548996682713,0.0011868284999924632,0.0074915489962960515,0.0074915489962960515,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,150,0.0037839548996682713,0.001663410074095839,0.006811192803032675,0.006811192803032675,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,200,0.0037839548996682713,0.0019475092108589035,0.006405619827280986,0.006405619827280986,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,300,0.0037839548996682713,0.0022845032736959602,0.005924535349402188,0.005924535349402188,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,400,0.0037839548996682713,0.0024853916998303673,0.005637751947982161,0.005637751947982161,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,600,0.0037839548996682713,0.0027236824868820553,0.005297573851350473,0.005297573851350473,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,800,0.0037839548996682713,0.0028657320552635873,0.005094787363474629,0.005094787363474629,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,1000,0.0037839548996682713,0.002962671420235437,0.00495639909814209,0.00495639909814209,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,1500,0.0037839548996682713,0.0031133797467389358,0.004741251579050693,0.004741251579050693,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,2000,0.0037839548996682713,0.003203219782084832,0.004612998142971936,0.004612998142971936,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,250,2500,0.0037839548996682713,0.00326452961973311,0.0045254737189938275,0.0045254737189938275,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,100,0.003683629285226267,0.001974260879940491,0.008544712605431047,0.008544712605431047,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
