case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
0	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m000	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	0	not_applicable	5556426962534329778	golovin_controlled_highres_N016384_v1
1	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m001	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	1	not_applicable	9422702842302939588	golovin_controlled_highres_N016384_v1
2	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m002	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	2	not_applicable	2462997661728145255	golovin_controlled_highres_N016384_v1
3	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m003	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	3	not_applicable	6883301317157315235	golovin_controlled_highres_N016384_v1
4	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m004	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	4	not_applicable	12559123858524931853	golovin_controlled_highres_N016384_v1
5	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m005	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	5	not_applicable	16722514017237813416	golovin_controlled_highres_N016384_v1
6	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m006	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	6	not_applicable	17848202879261313097	golovin_controlled_highres_N016384_v1
7	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m007	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	7	not_applicable	15739325113162581184	golovin_controlled_highres_N016384_v1
8	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m008	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	8	not_applicable	8287761169604493700	golovin_controlled_highres_N016384_v1
9	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m009	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	9	not_applicable	10357277940488528252	golovin_controlled_highres_N016384_v1
10	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m010	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	10	not_applicable	11680531015065977876	golovin_controlled_highres_N016384_v1
11	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m011	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	11	not_applicable	13403048578816263658	golovin_controlled_highres_N016384_v1
12	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m012	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	12	not_applicable	10524280010282654237	golovin_controlled_highres_N016384_v1
13	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m013	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	13	not_applicable	8185699380485648223	golovin_controlled_highres_N016384_v1
14	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m014	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	14	not_applicable	8890606015096335722	golovin_controlled_highres_N016384_v1
15	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m015	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	15	not_applicable	2937220287262947230	golovin_controlled_highres_N016384_v1
16	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m016	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	16	not_applicable	3959578748873927022	golovin_controlled_highres_N016384_v1
17	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m017	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	17	not_applicable	16013255077783280323	golovin_controlled_highres_N016384_v1
18	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m018	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	18	not_applicable	10070523177964915733	golovin_controlled_highres_N016384_v1
19	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m019	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	19	not_applicable	15645594162331661612	golovin_controlled_highres_N016384_v1
20	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m020	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	20	not_applicable	792003331605908582	golovin_controlled_highres_N016384_v1
21	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m021	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	21	not_applicable	602348395266704468	golovin_controlled_highres_N016384_v1
22	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m022	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	22	not_applicable	7792262706103351803	golovin_controlled_highres_N016384_v1
23	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m023	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	23	not_applicable	2221252669297334737	golovin_controlled_highres_N016384_v1
24	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m024	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	24	not_applicable	1296093832760319784	golovin_controlled_highres_N016384_v1
25	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m025	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	25	not_applicable	7058954282744420458	golovin_controlled_highres_N016384_v1
26	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m026	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	26	not_applicable	2247145968725594224	golovin_controlled_highres_N016384_v1
27	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m027	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	27	not_applicable	7649999342768085010	golovin_controlled_highres_N016384_v1
28	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m028	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	28	not_applicable	14220105908739365407	golovin_controlled_highres_N016384_v1
29	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m029	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	29	not_applicable	16418298250450829876	golovin_controlled_highres_N016384_v1
30	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m030	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	30	not_applicable	18073632933221564431	golovin_controlled_highres_N016384_v1
31	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m031	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	31	not_applicable	12197310643715884401	golovin_controlled_highres_N016384_v1
32	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m032	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	32	not_applicable	9095855655119433351	golovin_controlled_highres_N016384_v1
33	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m033	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	33	not_applicable	9006591315595256362	golovin_controlled_highres_N016384_v1
34	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m034	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	34	not_applicable	14744414377763087897	golovin_controlled_highres_N016384_v1
35	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m035	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	35	not_applicable	4143819578186359383	golovin_controlled_highres_N016384_v1
36	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m036	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	36	not_applicable	17186520627103302607	golovin_controlled_highres_N016384_v1
