max_superdroplets,time_s,metric,ensemble_members,point_estimate,bootstrap_variance_of_estimate,variance_coefficient_n_times_variance
32768,600.0,ensemble_mean_l1,40,0.013143174918709477,2.7603411792129492e-06,0.00011041364716851797
32768,600.0,golovin_relative_error_radius_moment_0_m3,40,0.0023126102735409187,1.0779353679625049e-06,4.31174147185002e-05
32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.005961521724115621,7.103939970131906e-06,0.00028415759880527625
32768,600.0,ensemble_mean_l1,60,0.011618154438270708,1.782322780555547e-06,0.00010693936683333282
32768,600.0,golovin_relative_error_radius_moment_0_m3,60,0.00127196668114156,8.628550872116664e-07,5.1771305232699985e-05
32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.00161327161021488,6.282961469491006e-06,0.00037697768816946035
32768,600.0,ensemble_mean_l1,80,0.010128357663277916,1.1524288702196611e-06,9.219430961757289e-05
32768,600.0,golovin_relative_error_radius_moment_0_m3,80,0.0014699674349003503,7.109381702998144e-07,5.6875053623985156e-05
32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0006820055715212895,4.724134059525315e-06,0.0003779307247620252
32768,600.0,ensemble_mean_l1,100,0.009294376486825308,9.733017733605767e-07,9.733017733605767e-05
32768,600.0,golovin_relative_error_radius_moment_0_m3,100,0.0008866646248207821,6.052817212177612e-07,6.0528172121776115e-05
32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0005666328514415253,3.564355957998802e-06,0.0003564355957998802
32768,1200.0,ensemble_mean_l1,40,0.015408653281421242,3.2317009435156665e-06,0.00012926803774062666
32768,1200.0,golovin_relative_error_radius_moment_0_m3,40,0.0026887332704738586,1.6199599193472885e-06,6.479839677389155e-05
32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.00739538720665594,1.4204266614839936e-05,0.0005681706645935975
32768,1200.0,ensemble_mean_l1,60,0.013095067433889353,1.8458082953015322e-06,0.00011074849771809192
32768,1200.0,golovin_relative_error_radius_moment_0_m3,60,0.0010933157222703881,1.3168857024652109e-06,7.901314214791265e-05
32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.0015398865870567546,1.2978471646078951e-05,0.000778708298764737
32768,1200.0,ensemble_mean_l1,80,0.010779519362130788,1.227447498366115e-06,9.81957998692892e-05
32768,1200.0,golovin_relative_error_radius_moment_0_m3,80,0.0005769341536542557,1.097832620497029e-06,8.782660963976232e-05
32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.00035676289099039057,9.679472411556571e-06,0.0007743577929245257
32768,1200.0,ensemble_mean_l1,100,0.00892131888779304,8.822104737667177e-07,8.822104737667177e-05
32768,1200.0,golovin_relative_error_radius_moment_0_m3,100,9.303736626780523e-05,9.371401621540477e-07,9.371401621540477e-05
32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0003563960070663441,7.238249470689443e-06,0.0007238249470689443
32768,1800.0,ensemble_mean_l1,40,0.017445218810517363,2.34058191732627e-06,9.36232766930508e-05
32768,1800.0,golovin_relative_error_radius_moment_0_m3,40,0.0031314312473334077,1.7520869399567617e-06,7.008347759827047e-05
32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.0076978164751835745,2.677598287916504e-05,0.0010710393151666016
32768,1800.0,ensemble_mean_l1,60,0.01402906162926328,1.462797436789622e-06,8.776784620737731e-05
32768,1800.0,golovin_relative_error_radius_moment_0_m3,60,0.001507440115043185,1.4183079223886968e-06,8.509847534332181e-05
32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.0017575764535436244,2.3459112112062333e-05,0.00140754672672374
32768,1800.0,ensemble_mean_l1,80,0.01209544340367446,1.0937669668615532e-06,8.750135734892426e-05
32768,1800.0,golovin_relative_error_radius_moment_0_m3,80,0.0011185569629749107,1.3198155127879316e-06,0.00010558524102303454
32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.0014826278605643826,1.7985630679438563e-05,0.001438850454355085
32768,1800.0,ensemble_mean_l1,100,0.011259961927033418,7.39719244188227e-07,7.39719244188227e-05
32768,1800.0,golovin_relative_error_radius_moment_0_m3,100,0.0006170149180966,1.0913125098697525e-06,0.00010913125098697524
32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0009994198878655015,1.3313828185770583e-05,0.0013313828185770582
32768,2400.0,ensemble_mean_l1,40,0.016687649455753767,3.4042115238781766e-06,0.00013616846095512706
32768,2400.0,golovin_relative_error_radius_moment_0_m3,40,0.003287625477014311,1.9198635519355386e-06,7.679454207742155e-05
32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.015528022884931676,2.3342707819208283e-05,0.0009337083127683313
32768,2400.0,ensemble_mean_l1,60,0.013285364923726149,1.746877116577226e-06,0.00010481262699463357
32768,2400.0,golovin_relative_error_radius_moment_0_m3,60,0.0017245140873109763,1.5441450189872931e-06,9.264870113923758e-05
32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.006704257972288143,2.7540722279449453e-05,0.0016524433367669671
32768,2400.0,ensemble_mean_l1,80,0.011768730510380188,1.221574304639225e-06,9.772594437113799e-05
32768,2400.0,golovin_relative_error_radius_moment_0_m3,80,0.0010873111184731513,1.4521858669508932e-06,0.00011617486935607145
32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.000980492347139783,2.1583650877156093e-05,0.0017266920701724873
32768,2400.0,ensemble_mean_l1,100,0.010739886022101542,9.002873017904296e-07,9.002873017904296e-05
32768,2400.0,golovin_relative_error_radius_moment_0_m3,100,0.0005632371777972544,1.2051845913560556e-06,0.00012051845913560557
32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0029943350709373882,1.699597110599107e-05,0.001699597110599107
32768,3000.0,ensemble_mean_l1,40,0.020573627886877614,5.216579155480582e-06,0.00020866316621922327
32768,3000.0,golovin_relative_error_radius_moment_0_m3,40,0.0029930667947293934,1.7781629830070738e-06,7.112651932028295e-05
32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.02249307971873487,4.4770074886698324e-05,0.0017908029954679329
32768,3000.0,ensemble_mean_l1,60,0.014921093267332854,2.8783550799127805e-06,0.00017270130479476683
32768,3000.0,golovin_relative_error_radius_moment_0_m3,60,0.0015510871144314006,1.4665944851084965e-06,8.79956691065098e-05
32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.011527533909663846,4.318134348667955e-05,0.002590880609200773
