case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
0	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	0	not_applicable	6805669346286477275	golovin_controlled_N000512_v1
1	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m001	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	1	not_applicable	16227983690206872321	golovin_controlled_N000512_v1
2	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m002	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	2	not_applicable	3577434400598469558	golovin_controlled_N000512_v1
3	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m003	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	3	not_applicable	3430231424985971627	golovin_controlled_N000512_v1
4	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m004	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	4	not_applicable	16460988908070873524	golovin_controlled_N000512_v1
5	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m005	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	5	not_applicable	2900019883263797985	golovin_controlled_N000512_v1
6	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m006	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	6	not_applicable	11192030348150851971	golovin_controlled_N000512_v1
7	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m007	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	7	not_applicable	1816872731071763876	golovin_controlled_N000512_v1
8	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m008	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	8	not_applicable	15063318593401236765	golovin_controlled_N000512_v1
9	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m009	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	9	not_applicable	14680967397637992942	golovin_controlled_N000512_v1
10	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m010	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	10	not_applicable	320188019420999371	golovin_controlled_N000512_v1
11	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m011	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	11	not_applicable	13380354262399231889	golovin_controlled_N000512_v1
12	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m012	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	12	not_applicable	18351363148506902142	golovin_controlled_N000512_v1
13	golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m013	golovin_controlled_resolution_convergence_v1	controlled	golovin	512	0.1	300.0	3600.0	1	13	not_applicable	3794980560693739217	golovin_controlled_N000512_v1
