run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m000,golovin,golovin_controlled_resolution_convergence_v1,controlled,0,0,not_applicable,6805669346286477275,512,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,1.2895741474672207e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m001,golovin,golovin_controlled_resolution_convergence_v1,controlled,1,1,not_applicable,16227983690206872321,512,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,1.5432790156921783e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m002,golovin,golovin_controlled_resolution_convergence_v1,controlled,2,2,not_applicable,3577434400598469558,512,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,1.534799209945703e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m003,golovin,golovin_controlled_resolution_convergence_v1,controlled,3,3,not_applicable,3430231424985971627,512,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,9.250430865748172e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m004,golovin,golovin_controlled_resolution_convergence_v1,controlled,4,4,not_applicable,16460988908070873524,512,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.2118267500582647e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m005,golovin,golovin_controlled_resolution_convergence_v1,controlled,5,5,not_applicable,2900019883263797985,512,0.1,300.0,3600.0,crossed_between_outputs,2400.0000953674316,2700.000047683716,2700.000047683716,1000.0,0.1,1.325361076442988e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m006,golovin,golovin_controlled_resolution_convergence_v1,controlled,6,6,not_applicable,11192030348150851971,512,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,1.587600806374212e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m007,golovin,golovin_controlled_resolution_convergence_v1,controlled,7,7,not_applicable,1816872731071763876,512,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.3876974569448919e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m008,golovin,golovin_controlled_resolution_convergence_v1,controlled,8,8,not_applicable,15063318593401236765,512,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.2505460889045139e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N000512_dt0p1_m009,golovin,golovin_controlled_resolution_convergence_v1,controlled,9,9,not_applicable,14680967397637992942,512,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,6.575774369466103e-09,1000.0,0.99
