matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,20,20,3089.9999856948853,141.0486813754005,31.539443969210403,3023.987170804665,3156.0128005851057,3029.9999952316284,3149.999976158142,0.04564682266290729
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,20,20,1.0170386766095162e-08,3.4869039006003714e-09,7.7969541527516e-10,8.538465506812376e-09,1.1802308025377948e-08,8.78018126579394e-09,1.1762448218766153e-08,0.3428487019023309
golovin_controlled_resolution_convergence_v1,controlled,golovin,16384,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,20,20,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,16384,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,20,20,2.3019975259330748e-09,5.633901842918252e-10,1.2597787499326552e-10,2.038322803248927e-09,2.5656722486172226e-09,2.066044215986995e-09,2.5513148506350893e-09,0.24473970017125224
golovin_controlled_resolution_convergence_v1,controlled,golovin,2048,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,20,20,3074.999988079071,133.2784763117491,29.801973297066642,3012.6237410994763,3137.3762350586658,3014.999997615814,3134.999978542328,0.043342594090547346
golovin_controlled_resolution_convergence_v1,controlled,golovin,2048,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,20,20,8.06243387607708e-09,2.030801642935397e-09,4.541010522421803e-10,7.111989450602073e-09,9.012878301552087e-09,7.20690058908513e-09,8.939398586926827e-09,0.25188444012684663
golovin_controlled_resolution_convergence_v1,controlled,golovin,4096,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,20,20,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,4096,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,20,20,9.503351605655297e-09,1.5460415746287221e-09,3.4570540569106364e-10,8.779781875804917e-09,1.0226921335505677e-08,8.841974636353277e-09,1.0164404706802799e-08,0.1626838234322191
golovin_controlled_resolution_convergence_v1,controlled,golovin,512,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,20,20,3149.999976158142,182.09306465714747,40.71724708046462,3064.777798589443,3235.222153726841,3074.999988079071,3224.999964237213,0.05780732255091474
golovin_controlled_resolution_convergence_v1,controlled,golovin,512,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,20,20,1.3114846447725981e-08,3.405339872206722e-09,7.614571440744677e-10,1.1521098328777067e-08,1.4708594566674896e-08,1.1692411410746397e-08,1.4622278333153992e-08,0.2596553368565884
golovin_controlled_resolution_convergence_v1,controlled,golovin,8192,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,20,20,3014.999997615814,67.08202866259069,14.999997615814207,2983.604641789848,3046.3953534417806,3000.0,3044.9999928474426,0.02224942909308042
golovin_controlled_resolution_convergence_v1,controlled,golovin,8192,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,20,20,4.628210881207906e-09,9.549694088166488e-10,2.1353765145468134e-10,4.181271440191401e-09,5.0751503222244115e-09,4.219586925147123e-09,5.030525613014536e-09,0.20633662409250753
