matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative,20,20,0.019105815743291295,0.0,0.0,0.019105815743291295,0.019105815743291295,0.019105815743291295,0.019105815743291295,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_250,20,20,0.018375858961533535,0.0,0.0,0.018375858961533535,0.018375858961533535,0.018375858961533535,0.018375858961533535,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_500,20,20,0.019105815743291295,0.0,0.0,0.019105815743291295,0.019105815743291295,0.019105815743291295,0.019105815743291295,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_1000,20,20,0.019522918757577383,3.5595774664122295e-18,7.959457186074219e-19,0.019522918757577383,0.019522918757577383,0.019522918757577383,0.019522918757577383,1.8232814010101123e-16
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,radius_moment_0_m3,20,20,8388608.0,0.0,0.0,8388608.0,8388608.0,8388608.0,8388608.0,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,radius_moment_3_um3_m3,20,20,238740390356.95987,3.131037451431744e-05,7.001212581499076e-06,238740390356.95987,238740390356.95987,238740390356.95987,238740390356.95987,1.3114820859387385e-16
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,radius_moment_6_um6_m3,20,20,1.3588007663822132e+16,2.051956704170308,0.45883146774112343,1.3588007663822132e+16,1.3588007663822132e+16,1.3588007663822132e+16,1.3588007663822132e+16,1.5101233050034347e-16
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_0_m3,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_3_um3_m3,20,20,2.973061291555723e-05,0.0,0.0,2.973061291555723e-05,2.973061291555723e-05,2.973061291555723e-05,2.973061291555723e-05,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-2.368920266326846e-05,0.0,0.0,-2.368920266326846e-05,-2.368920266326846e-05,-2.368920266326846e-05,-2.368920266326846e-05,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,liquid_water_gm3,20,20,0.9982363485788328,2.278129578503827e-16,5.0940525990875e-17,0.9982363485788327,0.9982363485788329,0.9982363485788328,0.9982363485788328,2.2821545035373136e-16
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,relative_liquid_mass_drift,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_cloud_threshold,20,20,0.3422119819365962,5.695323946259567e-17,1.273513149771875e-17,0.3422119819365962,0.3422119819365962,0.3422119819365962,0.3422119819365962,1.6642678359855841e-16
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_large_threshold,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_onset_threshold,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,mass_weighted_radius_q99_um,20,20,57.38198471069336,0.0,0.0,57.38198471069336,57.38198471069336,57.38198471069336,57.38198471069336,0.0
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_250,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_500,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_1000,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_250,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_500,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_1000,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative,20,20,0.49503996169433667,0.030432749393934044,0.006804969638705204,0.48079699655100844,0.5092829268376649,0.48193667967651455,0.507897943806617,0.061475338859057205
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_250,20,20,0.3615462001931464,0.0325105959502448,0.007269590253377675,0.34633077292713477,0.3767616274591581,0.3481612391452666,0.37589240617417724,0.08992100022867584
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_500,20,20,0.49503996169433667,0.030432749393934044,0.006804969638705204,0.48079699655100844,0.5092829268376649,0.4822098480490388,0.5079935443626384,0.061475338859057205
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_1000,20,20,0.6876705310019359,0.030017435898118918,0.0067121027178436345,0.6736219385578297,0.701719123446042,0.6750344283405079,0.7005337400181019,0.043650897551744026
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,1200.0000476837158,radius_moment_0_m3,20,20,1359292.7997679247,72479.9002583198,16206.998398000764,1325371.1622711523,1393214.4372646972,1329002.693549978,1390890.7345416357,0.05332177163793884
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,1200.0000476837158,radius_moment_3_um3_m3,20,20,238740390085.2066,1054.8042015515368,235.86138976216253,238740389591.54303,238740390578.87018,238740389627.18967,238740390519.71744,4.418205906319733e-09
golovin_controlled_resolution_convergence_v1,controlled,golovin,1024,0.1,300.0,3600.0,1200.0000476837158,radius_moment_6_um6_m3,20,20,4.91358539561744e+17,7.0491565757825016e+16,1.576239328748932e+16,4.583674712559848e+17,5.243496078675032e+17,4.607066661459626e+17,5.1990072228305536e+17,0.14346258400372638
