lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_n_members,upper_n_members,estimated_difference_lower_minus_upper,95ci_low,95ci_high,equivalence_margin,equivalence_pass
512,1024,600.0,ensemble_mean_l1_bins_250,20,20,0.04063610120779568,0.011723150910633176,0.09541689999573669,0.01,False
512,1024,600.0,ensemble_mean_l1_bins_500,20,20,0.046274821655815965,0.016240153101021237,0.11942796120524873,0.01,False
512,1024,600.0,ensemble_mean_l1_bins_1000,20,20,0.06260732488015655,0.02799575618229161,0.15106457121280847,0.01,False
512,1024,600.0,golovin_relative_error_radius_moment_0_m3,20,20,0.05342384196879441,0.02422342319772099,0.08262426073986784,0.05,False
512,1024,600.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.06371027232374464,-0.1612524813222812,0.03383193667479194,0.1,False
512,1024,1200.0,ensemble_mean_l1_bins_250,20,20,0.04436648656951157,0.016507107914716327,0.10485243024272937,0.01,False
512,1024,1200.0,ensemble_mean_l1_bins_500,20,20,0.06449743204342645,0.03125244167037672,0.13886753076050576,0.01,False
512,1024,1200.0,ensemble_mean_l1_bins_1000,20,20,0.08814995699683417,0.04897540869314866,0.17210720501482699,0.01,False
512,1024,1200.0,golovin_relative_error_radius_moment_0_m3,20,20,0.060352895307771,0.02829547841129925,0.09241031220424276,0.05,False
512,1024,1200.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.0698378019601554,-0.17290274776193215,0.03322714384162134,0.1,False
512,1024,1800.0,ensemble_mean_l1_bins_250,20,20,0.06339381907858214,0.023876825732216663,0.10700282224046294,0.01,False
512,1024,1800.0,ensemble_mean_l1_bins_500,20,20,0.08080997852356184,0.041891402641814464,0.14219134478371195,0.01,False
512,1024,1800.0,ensemble_mean_l1_bins_1000,20,20,0.06880626622679939,0.038021897032567496,0.16645034238080317,0.01,False
512,1024,1800.0,golovin_relative_error_radius_moment_0_m3,20,20,0.05243258616744684,0.017902725050840985,0.0869624472840527,0.05,False
512,1024,1800.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.11677961408864095,-0.24228104905366976,0.008721820876387856,0.1,False
512,1024,2400.0,ensemble_mean_l1_bins_250,20,20,0.01692689286901493,-0.010455303335226429,0.08185671678050217,0.01,False
512,1024,2400.0,ensemble_mean_l1_bins_500,20,20,0.05047596175809069,0.012687689033513201,0.12326294537833972,0.01,False
512,1024,2400.0,ensemble_mean_l1_bins_1000,20,20,0.06751035622177223,0.029670061188611506,0.1574188420981367,0.01,False
512,1024,2400.0,golovin_relative_error_radius_moment_0_m3,20,20,0.06121029241858754,0.023736822627172305,0.09868376221000277,0.05,False
512,1024,2400.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.12914347675872737,-0.2644824808316917,0.0061955273142369205,0.1,False
512,1024,3000.0,ensemble_mean_l1_bins_250,20,20,0.07164145939649284,0.019836220914407867,0.13393575865139276,0.01,False
512,1024,3000.0,ensemble_mean_l1_bins_500,20,20,0.06946798717654323,0.024575607487258753,0.15436719741596658,0.01,False
512,1024,3000.0,ensemble_mean_l1_bins_1000,20,20,0.08767134386024186,0.04458660138834783,0.19420477141265227,0.01,False
512,1024,3000.0,golovin_relative_error_radius_moment_0_m3,20,20,0.06365244467998141,0.023810870322270757,0.10349401903769206,0.05,False
512,1024,3000.0,golovin_relative_error_radius_moment_6_um6_m3,20,20,-0.1900562563292707,-0.3480442763613387,-0.03206823629720271,0.1,False
512,1024,3600.0,ensemble_mean_l1_bins_250,20,20,0.09020725680532665,0.030058759759540074,0.15851665638488546,0.01,False
