case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
0	golovin_controlled_timestep_screen_v1_N016384_dt2_m000	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	2.0	300.0	3600.0	1	0	not_applicable	1944431086028390590	golovin_controlled_N016384_v1
1	golovin_controlled_timestep_screen_v1_N016384_dt2_m001	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	2.0	300.0	3600.0	1	1	not_applicable	15564717190483251341	golovin_controlled_N016384_v1
2	golovin_controlled_timestep_screen_v1_N016384_dt2_m002	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	2.0	300.0	3600.0	1	2	not_applicable	10837499897406224020	golovin_controlled_N016384_v1
3	golovin_controlled_timestep_screen_v1_N016384_dt2_m003	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	2.0	300.0	3600.0	1	3	not_applicable	10689183209771867904	golovin_controlled_N016384_v1
4	golovin_controlled_timestep_screen_v1_N016384_dt2_m004	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	2.0	300.0	3600.0	1	4	not_applicable	7649767742560776063	golovin_controlled_N016384_v1
5	golovin_controlled_timestep_screen_v1_N016384_dt1_m000	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	1.0	300.0	3600.0	1	0	not_applicable	1944431086028390590	golovin_controlled_N016384_v1
6	golovin_controlled_timestep_screen_v1_N016384_dt1_m001	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	1.0	300.0	3600.0	1	1	not_applicable	15564717190483251341	golovin_controlled_N016384_v1
7	golovin_controlled_timestep_screen_v1_N016384_dt1_m002	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	1.0	300.0	3600.0	1	2	not_applicable	10837499897406224020	golovin_controlled_N016384_v1
8	golovin_controlled_timestep_screen_v1_N016384_dt1_m003	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	1.0	300.0	3600.0	1	3	not_applicable	10689183209771867904	golovin_controlled_N016384_v1
9	golovin_controlled_timestep_screen_v1_N016384_dt1_m004	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	1.0	300.0	3600.0	1	4	not_applicable	7649767742560776063	golovin_controlled_N016384_v1
10	golovin_controlled_timestep_screen_v1_N016384_dt0p5_m000	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.5	300.0	3600.0	1	0	not_applicable	1944431086028390590	golovin_controlled_N016384_v1
11	golovin_controlled_timestep_screen_v1_N016384_dt0p5_m001	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.5	300.0	3600.0	1	1	not_applicable	15564717190483251341	golovin_controlled_N016384_v1
12	golovin_controlled_timestep_screen_v1_N016384_dt0p5_m002	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.5	300.0	3600.0	1	2	not_applicable	10837499897406224020	golovin_controlled_N016384_v1
13	golovin_controlled_timestep_screen_v1_N016384_dt0p5_m003	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.5	300.0	3600.0	1	3	not_applicable	10689183209771867904	golovin_controlled_N016384_v1
14	golovin_controlled_timestep_screen_v1_N016384_dt0p5_m004	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.5	300.0	3600.0	1	4	not_applicable	7649767742560776063	golovin_controlled_N016384_v1
15	golovin_controlled_timestep_screen_v1_N016384_dt0p25_m000	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.25	300.0	3600.0	1	0	not_applicable	1944431086028390590	golovin_controlled_N016384_v1
16	golovin_controlled_timestep_screen_v1_N016384_dt0p25_m001	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.25	300.0	3600.0	1	1	not_applicable	15564717190483251341	golovin_controlled_N016384_v1
17	golovin_controlled_timestep_screen_v1_N016384_dt0p25_m002	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.25	300.0	3600.0	1	2	not_applicable	10837499897406224020	golovin_controlled_N016384_v1
18	golovin_controlled_timestep_screen_v1_N016384_dt0p25_m003	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.25	300.0	3600.0	1	3	not_applicable	10689183209771867904	golovin_controlled_N016384_v1
19	golovin_controlled_timestep_screen_v1_N016384_dt0p25_m004	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.25	300.0	3600.0	1	4	not_applicable	7649767742560776063	golovin_controlled_N016384_v1
20	golovin_controlled_timestep_screen_v1_N016384_dt0p1_m000	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	0	not_applicable	1944431086028390590	golovin_controlled_N016384_v1
21	golovin_controlled_timestep_screen_v1_N016384_dt0p1_m001	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	1	not_applicable	15564717190483251341	golovin_controlled_N016384_v1
22	golovin_controlled_timestep_screen_v1_N016384_dt0p1_m002	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	2	not_applicable	10837499897406224020	golovin_controlled_N016384_v1
23	golovin_controlled_timestep_screen_v1_N016384_dt0p1_m003	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	3	not_applicable	10689183209771867904	golovin_controlled_N016384_v1
24	golovin_controlled_timestep_screen_v1_N016384_dt0p1_m004	golovin_controlled_timestep_screen_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	4	not_applicable	7649767742560776063	golovin_controlled_N016384_v1
