run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_timestep_screen_v1_N016384_dt0p1_m000,golovin,golovin_controlled_timestep_screen_v1,controlled,20,0,not_applicable,1944431086028390590,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.362745276154101e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p1_m001,golovin,golovin_controlled_timestep_screen_v1,controlled,21,1,not_applicable,15564717190483251341,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.4673735277147557e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p1_m002,golovin,golovin_controlled_timestep_screen_v1,controlled,22,2,not_applicable,10837499897406224020,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.950993588906158e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p1_m003,golovin,golovin_controlled_timestep_screen_v1,controlled,23,3,not_applicable,10689183209771867904,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.563983247938495e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p1_m004,golovin,golovin_controlled_timestep_screen_v1,controlled,24,4,not_applicable,7649767742560776063,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7608927649348516e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p25_m000,golovin,golovin_controlled_timestep_screen_v1,controlled,15,0,not_applicable,1944431086028390590,16384,0.25,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.57032195527529e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p25_m001,golovin,golovin_controlled_timestep_screen_v1,controlled,16,1,not_applicable,15564717190483251341,16384,0.25,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7673488228453493e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p25_m002,golovin,golovin_controlled_timestep_screen_v1,controlled,17,2,not_applicable,10837499897406224020,16384,0.25,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.6854908014305465e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p25_m003,golovin,golovin_controlled_timestep_screen_v1,controlled,18,3,not_applicable,10689183209771867904,16384,0.25,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7301702293082144e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p25_m004,golovin,golovin_controlled_timestep_screen_v1,controlled,19,4,not_applicable,7649767742560776063,16384,0.25,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.811047699642245e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p5_m000,golovin,golovin_controlled_timestep_screen_v1,controlled,10,0,not_applicable,1944431086028390590,16384,0.5,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.6175250572867412e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p5_m001,golovin,golovin_controlled_timestep_screen_v1,controlled,11,1,not_applicable,15564717190483251341,16384,0.5,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.2006481081859874e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p5_m002,golovin,golovin_controlled_timestep_screen_v1,controlled,12,2,not_applicable,10837499897406224020,16384,0.5,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.155605471898525e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p5_m003,golovin,golovin_controlled_timestep_screen_v1,controlled,13,3,not_applicable,10689183209771867904,16384,0.5,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.6157540860817221e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt0p5_m004,golovin,golovin_controlled_timestep_screen_v1,controlled,14,4,not_applicable,7649767742560776063,16384,0.5,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.1526299348882958e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt1_m000,golovin,golovin_controlled_timestep_screen_v1,controlled,5,0,not_applicable,1944431086028390590,16384,1.0,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.3238280189019633e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt1_m001,golovin,golovin_controlled_timestep_screen_v1,controlled,6,1,not_applicable,15564717190483251341,16384,1.0,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.888563971874646e-09,1000.0,0.99
golovin_controlled_timestep_screen_v1_N016384_dt1_m002,golovin,golovin_controlled_timestep_screen_v1,controlled,7,2,not_applicable,10837499897406224020,16384,1.0,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.280238830034477e-09,1000.0,0.99
