matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,5,5,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,5,5,2.6211976811296723e-09,1.030681990399645e-09,4.6093499874367837e-10,1.3414369600534354e-09,3.900958402205909e-09,1.9595310263298414e-09,3.520642533061391e-09,0.3932103243565538
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.25,300.0,3600.0,tail_onset_first_recorded_crossing_s,5,5,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.25,300.0,3600.0,maximum_absolute_liquid_mass_drift,5,5,2.712875901700329e-09,1.0039938451023024e-09,4.489996973280285e-10,1.4662528898186336e-09,3.959498913582025e-09,1.9130720119164835e-09,3.5126797914841746e-09,0.37008469295371627
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.5,300.0,3600.0,tail_onset_first_recorded_crossing_s,5,5,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.5,300.0,3600.0,maximum_absolute_liquid_mass_drift,5,5,2.5484325316682545e-09,8.144276391056926e-10,3.6422311275899896e-10,1.537187053048628e-09,3.559678010287881e-09,1.9486734448292964e-09,3.1481916185072122e-09,0.3195798315180634
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,1.0,300.0,3600.0,tail_onset_first_recorded_crossing_s,5,5,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,1.0,300.0,3600.0,maximum_absolute_liquid_mass_drift,5,5,2.7971757354805503e-09,1.0296011369086893e-09,4.604516263677794e-10,1.518757071271366e-09,4.075594399689735e-09,2.0379716136886826e-09,3.6667928693390195e-09,0.3680859675167336
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,2.0,300.0,3600.0,tail_onset_first_recorded_crossing_s,5,5,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,2.0,300.0,3600.0,maximum_absolute_liquid_mass_drift,5,5,2.4431952017067715e-09,5.79856824966458e-10,2.593198555684394e-10,1.723207858033179e-09,3.163182545380364e-09,2.0474962170169418e-09,2.9558299807774803e-09,0.23733544686129893
