matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative,5,5,0.007120967653698127,9.69739903612216e-19,4.336808689942018e-19,0.007120967653698126,0.0071209676536981275,0.007120967653698127,0.007120967653698127,1.3618091680399668e-16
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_250,5,5,0.00332856509419501,4.84869951806108e-19,2.168404344971009e-19,0.0033285650941950098,0.0033285650941950106,0.00332856509419501,0.00332856509419501,1.4566936144698421e-16
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_500,5,5,0.007120967653698127,9.69739903612216e-19,4.336808689942018e-19,0.007120967653698126,0.0071209676536981275,0.007120967653698127,0.007120967653698127,1.3618091680399668e-16
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_1000,5,5,0.01348464728023573,0.0,0.0,0.01348464728023573,0.01348464728023573,0.01348464728023573,0.01348464728023573,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,radius_moment_0_m3,5,5,8388608.0,0.0,0.0,8388608.0,8388608.0,8388608.0,8388608.0,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,radius_moment_3_um3_m3,5,5,238740390078.92203,0.0,0.0,238740390078.92203,238740390078.92203,238740390078.92203,238740390078.92203,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,radius_moment_6_um6_m3,5,5,1.3588188114267852e+16,0.0,0.0,1.3588188114267852e+16,1.3588188114267852e+16,1.3588188114267852e+16,1.3588188114267852e+16,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_0_m3,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_3_um3_m3,5,5,2.972944827761559e-05,0.0,0.0,2.972944827761559e-05,2.972944827761559e-05,2.972944827761559e-05,2.972944827761559e-05,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_6_um6_m3,5,5,-1.0409391858035022e-05,0.0,0.0,-1.0409391858035022e-05,-1.0409391858035022e-05,-1.0409391858035022e-05,-1.0409391858035022e-05,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,liquid_water_gm3,5,5,0.9982363474162836,0.0,0.0,0.9982363474162836,0.9982363474162836,0.9982363474162836,0.9982363474162836,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,relative_liquid_mass_drift,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_cloud_threshold,5,5,0.3426337917221375,0.0,0.0,0.3426337917221375,0.3426337917221375,0.3426337917221375,0.3426337917221375,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_large_threshold,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,mass_fraction_r_ge_onset_threshold,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,mass_weighted_radius_q99_um,5,5,57.375732421875,0.0,0.0,57.375732421875,57.375732421875,57.375732421875,57.375732421875,0.0
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_250,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_500,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_below_range_fraction_bins_1000,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_250,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_500,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,0.0,fixed_bin_mass_above_range_fraction_bins_1000,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative,5,5,0.1293126032884085,0.010203878849092594,0.004563313348148672,0.11664281427945736,0.14198239229735962,0.12209703830976917,0.13836491814417262,0.07890861826000578
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_250,5,5,0.09281477640826064,0.014001771244956825,0.006261782461825064,0.07542928114231305,0.11020027167420822,0.08477649923084749,0.10522767907063146,0.15085713489593292
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_500,5,5,0.1293126032884085,0.010203878849092594,0.004563313348148672,0.11664281427945736,0.14198239229735962,0.12209703830976917,0.13836491814417265,0.07890861826000578
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,1200.0000476837158,golovin_fixed_bin_l1_relative_bins_1000,5,5,0.18226399605190508,0.00895788237924994,0.004006086786890083,0.17114131600144655,0.1933866761023636,0.1754743833326088,0.18973243118450536,0.04914784364049013
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,1200.0000476837158,radius_moment_0_m3,5,5,1376408.3074395284,6744.218104643316,3016.106027413449,1368034.2546229588,1384782.360256098,1371265.1956915264,1381842.1618845258,0.004899867334562436
golovin_controlled_timestep_screen_v1,controlled,golovin,16384,0.1,300.0,3600.0,1200.0000476837158,radius_moment_3_um3_m3,5,5,238740390051.74884,223.2000868405343,99.81811335185819,238740389774.6093,238740390328.88837,238740389883.00308,238740390229.5064,9.349071047096553e-10
