collision_timestep_s,reference_collision_timestep_s,time_s,metric,n_common_streams,estimated_difference,ci_method,95ci_low,95ci_high,equivalence_margin,equivalence_pass
0.1,0.1,600.0,golovin_relative_error_radius_moment_0_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.05,True
0.1,0.1,600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.1,True
0.1,0.1,1200.0,golovin_relative_error_radius_moment_0_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.05,True
0.1,0.1,1200.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.1,True
0.1,0.1,1800.0,golovin_relative_error_radius_moment_0_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.05,True
0.1,0.1,1800.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.1,True
0.1,0.1,2400.0,golovin_relative_error_radius_moment_0_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.05,True
0.1,0.1,2400.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.1,True
0.1,0.1,3000.0,golovin_relative_error_radius_moment_0_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.05,True
0.1,0.1,3000.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.1,True
0.1,0.1,3600.0,golovin_relative_error_radius_moment_0_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.05,True
0.1,0.1,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0,student_common_stream_difference,0.0,0.0,0.1,True
0.25,0.1,600.0,golovin_relative_error_radius_moment_0_m3,5,0.0011140717422811973,student_common_stream_difference,-0.01324073880472435,0.015468882289286745,0.05,True
0.25,0.1,600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.005304407055349491,student_common_stream_difference,-0.047161079274293145,0.05776989338499213,0.1,True
0.25,0.1,1200.0,golovin_relative_error_radius_moment_0_m3,5,0.013584912349285517,student_common_stream_difference,0.0007890682659852811,0.02638075643258575,0.05,True
0.25,0.1,1200.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.005041466765854219,student_common_stream_difference,-0.09893824567786656,0.08885531214615812,0.1,True
0.25,0.1,1800.0,golovin_relative_error_radius_moment_0_m3,5,0.017072936475320932,student_common_stream_difference,-0.01185985290241984,0.0460057258530617,0.05,True
0.25,0.1,1800.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.00661962901072437,student_common_stream_difference,-0.10441564377208287,0.09117638575063414,0.1,False
0.25,0.1,2400.0,golovin_relative_error_radius_moment_0_m3,5,0.01568785010037572,student_common_stream_difference,-0.013420274602668883,0.044795974803420326,0.05,True
0.25,0.1,2400.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.0035880130947389065,student_common_stream_difference,-0.05352265156374036,0.06069867775321817,0.1,True
0.25,0.1,3000.0,golovin_relative_error_radius_moment_0_m3,5,0.01728130525637781,student_common_stream_difference,-0.014567450922069618,0.04913006143482524,0.05,True
0.25,0.1,3000.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.04940759777044237,student_common_stream_difference,0.020217794337411398,0.07859740120347333,0.1,True
0.25,0.1,3600.0,golovin_relative_error_radius_moment_0_m3,5,0.01833150838650317,student_common_stream_difference,-0.013126728090507519,0.049789744863513855,0.05,True
0.25,0.1,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.08525816172450632,student_common_stream_difference,0.049828612007818573,0.12068771144119406,0.1,False
0.5,0.1,600.0,golovin_relative_error_radius_moment_0_m3,5,0.0026101518958000502,student_common_stream_difference,-0.016657703905550665,0.021878007697150766,0.05,True
0.5,0.1,600.0,golovin_relative_error_radius_moment_6_um6_m3,5,-5.88755415071418e-05,student_common_stream_difference,-0.04815208713352669,0.048034336050512404,0.1,True
0.5,0.1,1200.0,golovin_relative_error_radius_moment_0_m3,5,0.007524782911130012,student_common_stream_difference,-0.01717300430641477,0.0322225701286748,0.05,True
0.5,0.1,1200.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.019388393404626503,student_common_stream_difference,-0.09899533350744592,0.06021854669819292,0.1,True
0.5,0.1,1800.0,golovin_relative_error_radius_moment_0_m3,5,0.015922955129208115,student_common_stream_difference,-0.013928858673363385,0.04577476893177962,0.05,True
0.5,0.1,1800.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.007298089483884529,student_common_stream_difference,-0.08802154129277157,0.07342536232500252,0.1,True
0.5,0.1,2400.0,golovin_relative_error_radius_moment_0_m3,5,0.014633298363075054,student_common_stream_difference,-0.021249838392404102,0.05051643511855421,0.05,False
0.5,0.1,2400.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.02672768661310838,student_common_stream_difference,-0.1147538955997992,0.06129852237358244,0.1,False
0.5,0.1,3000.0,golovin_relative_error_radius_moment_0_m3,5,0.01591281079174367,student_common_stream_difference,-0.02103827712694492,0.05286389871043226,0.05,False
0.5,0.1,3000.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.009072104138408754,student_common_stream_difference,-0.08210107205097508,0.10024528032779259,0.1,False
0.5,0.1,3600.0,golovin_relative_error_radius_moment_0_m3,5,0.014731660214200715,student_common_stream_difference,-0.025414367012679892,0.05487768744108132,0.05,False
0.5,0.1,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.029285416163334976,student_common_stream_difference,-0.15825899381442732,0.21682982614109725,0.1,False
1.0,0.1,600.0,golovin_relative_error_radius_moment_0_m3,5,0.005449950746415122,student_common_stream_difference,-0.005123335860359343,0.016023237353189588,0.05,True
1.0,0.1,600.0,golovin_relative_error_radius_moment_6_um6_m3,5,0.015891495462163462,student_common_stream_difference,-0.043129591847254456,0.07491258277158137,0.1,True
1.0,0.1,1200.0,golovin_relative_error_radius_moment_0_m3,5,0.005253595669547928,student_common_stream_difference,-0.010435790446621358,0.020942981785717213,0.05,True
1.0,0.1,1200.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.009737548628182768,student_common_stream_difference,-0.10432123670094498,0.08484613944457944,0.1,False
1.0,0.1,1800.0,golovin_relative_error_radius_moment_0_m3,5,0.005282068435220166,student_common_stream_difference,-0.016653079045878108,0.02721721591631844,0.05,True
1.0,0.1,1800.0,golovin_relative_error_radius_moment_6_um6_m3,5,-0.0028717496247928852,student_common_stream_difference,-0.09568734114169557,0.08994384189210979,0.1,True
