case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
0	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	0	not_applicable	12181403248578735360	golovin_fixed10_screen_N004096_v1
1	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	1	not_applicable	8807854718760990984	golovin_fixed10_screen_N004096_v1
2	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	2	not_applicable	9864149193895208150	golovin_fixed10_screen_N004096_v1
3	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	3	not_applicable	7421825872465425726	golovin_fixed10_screen_N004096_v1
4	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	4	not_applicable	18015671903480507484	golovin_fixed10_screen_N004096_v1
5	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	5	not_applicable	1148155466006386392	golovin_fixed10_screen_N004096_v1
6	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	6	not_applicable	11380886065858597060	golovin_fixed10_screen_N004096_v1
7	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	7	not_applicable	17626333244069062560	golovin_fixed10_screen_N004096_v1
8	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	8	not_applicable	3574674060218770426	golovin_fixed10_screen_N004096_v1
9	golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	4096	0.1	300.0	3600.0	1	9	not_applicable	6670322083443627212	golovin_fixed10_screen_N004096_v1
10	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	0	not_applicable	15757455143183389332	golovin_fixed10_screen_N008192_v1
11	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	1	not_applicable	15869164551713118159	golovin_fixed10_screen_N008192_v1
12	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	2	not_applicable	12883109848255521616	golovin_fixed10_screen_N008192_v1
13	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	3	not_applicable	11775821216288800937	golovin_fixed10_screen_N008192_v1
14	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	4	not_applicable	18238048841119580033	golovin_fixed10_screen_N008192_v1
15	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	5	not_applicable	5120199317635885658	golovin_fixed10_screen_N008192_v1
16	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	6	not_applicable	12565268948356273084	golovin_fixed10_screen_N008192_v1
17	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	7	not_applicable	18080831571384412884	golovin_fixed10_screen_N008192_v1
18	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	8	not_applicable	5029447419657506861	golovin_fixed10_screen_N008192_v1
19	golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	8192	0.1	300.0	3600.0	1	9	not_applicable	14108026864327171133	golovin_fixed10_screen_N008192_v1
20	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	0	not_applicable	5307406523476911772	golovin_fixed10_screen_N016384_v1
21	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	1	not_applicable	17805994060461165824	golovin_fixed10_screen_N016384_v1
22	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	2	not_applicable	9076830274476434971	golovin_fixed10_screen_N016384_v1
23	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	3	not_applicable	6561326515812081595	golovin_fixed10_screen_N016384_v1
24	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	4	not_applicable	16147495600922116364	golovin_fixed10_screen_N016384_v1
25	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	5	not_applicable	15187404135339358973	golovin_fixed10_screen_N016384_v1
26	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	6	not_applicable	1331966235394635580	golovin_fixed10_screen_N016384_v1
27	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	7	not_applicable	15314559316584261693	golovin_fixed10_screen_N016384_v1
28	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	8	not_applicable	657891575694041982	golovin_fixed10_screen_N016384_v1
29	golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	16384	0.1	300.0	3600.0	1	9	not_applicable	6987282758358410744	golovin_fixed10_screen_N016384_v1
