run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,1.2829259210533905e-08,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m001,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,1,1,not_applicable,8807854718760990984,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,9.159914382550483e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m002,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,2,2,not_applicable,9864149193895208150,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.052052955863303e-08,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m003,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,3,3,not_applicable,7421825872465425726,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,9.982610071901377e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m004,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,4,4,not_applicable,18015671903480507484,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,7.97803090257787e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m005,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,5,5,not_applicable,1148155466006386392,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.1503088925834959e-08,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m006,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,6,6,not_applicable,11380886065858597060,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,8.042784660489133e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m007,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,7,7,not_applicable,17626333244069062560,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.1412144340638974e-08,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m008,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,8,8,not_applicable,3574674060218770426,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.1302210722874406e-08,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m009,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,9,9,not_applicable,6670322083443627212,4096,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.3560503830944981e-08,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,10,0,not_applicable,15757455143183389332,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,5.7230877814618e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m001,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,11,1,not_applicable,15869164551713118159,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.927238090284391e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m002,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,12,2,not_applicable,12883109848255521616,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,5.061551400231679e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m003,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,13,3,not_applicable,11775821216288800937,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.281602183908717e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m004,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,14,4,not_applicable,18238048841119580033,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,5.739759112444176e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m005,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,15,5,not_applicable,5120199317635885658,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.728167413148299e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m006,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,16,6,not_applicable,12565268948356273084,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,4.702225941954907e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m007,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,17,7,not_applicable,18080831571384412884,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,5.40070632659706e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m008,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,18,8,not_applicable,5029447419657506861,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.2151257212120754e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N008192_dt0p1_m009,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,19,9,not_applicable,14108026864327171133,8192,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,5.072372966097305e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,20,0,not_applicable,5307406523476911772,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.786522235176392e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N016384_dt0p1_m001,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,21,1,not_applicable,17805994060461165824,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.5945204046019512e-09,1000.0,0.99
