run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,n_superdroplet_records,number_concentration_cm3,liquid_water_gm3,relative_liquid_mass_drift,radius_moment_0_m3,radius_moment_3_um3_m3,radius_moment_6_um6_m3,max_radius_um,mass_fraction_r_ge_cloud_threshold,mass_fraction_r_ge_large_threshold,mass_fraction_r_ge_onset_threshold,mass_weighted_radius_q99_um,golovin_l1_relative,golovin_fixed_bin_l1_relative_bins_250,fixed_bin_mass_below_range_fraction_bins_250,fixed_bin_mass_above_range_fraction_bins_250,golovin_fixed_bin_l1_relative_bins_500,fixed_bin_mass_below_range_fraction_bins_500,fixed_bin_mass_above_range_fraction_bins_500,golovin_fixed_bin_l1_relative_bins_1000,fixed_bin_mass_below_range_fraction_bins_1000,fixed_bin_mass_above_range_fraction_bins_1000,golovin_fixed_bin_l1_relative,fixed_bin_mass_below_range_fraction,fixed_bin_mass_above_range_fraction,golovin_analytical_radius_moment_0_m3,golovin_relative_error_radius_moment_0_m3,golovin_analytical_radius_moment_3_um3_m3,golovin_relative_error_radius_moment_3_um3_m3,golovin_analytical_radius_moment_6_um6_m3,golovin_relative_error_radius_moment_6_um6_m3
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,0.0,4096,8.388608,0.9982363416892331,0.0,8388608.0,238740388709.22803,1.3588177365756646e+16,74.960205078125,0.34221198606522885,0.0,0.0,57.35297775268555,0.10384044884754319,0.01364704981020734,0.0,0.0,0.01667750025446505,0.0,0.0,0.01825478810580494,0.0,0.0,0.01667750025446505,0.0,0.0,8388608.0,0.0,238733292669.84543,2.9723710938123205e-05,1.3588329560514944e+16,-1.12004023467005e-05
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,300.00001192092896,4096,5.495356627474553,0.9982363465963047,4.915741147470953e-09,5495356.627474553,238740389882.81403,3.0780882681482164e+16,110.47208404541016,0.6017699142280185,0.0,0.0,83.45275115966797,0.08997667132242128,0.17193634365533914,0.0,0.0,0.2213967765183847,0.0,0.0,0.30255260031085185,0.0,0.0,0.2213967765183847,0.0,0.0,5348803.665523084,0.027399203843676112,238733292669.84543,2.9728626825376026e-05,3.3422009487832736e+16,-0.07902357897756185
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,600.0000238418579,4096,3.559208790760792,0.998236343044917,1.3580789826050932e-09,3559208.790760792,238740389033.45636,7.2446548634047e+16,139.9742889404297,0.7694099912448312,0.0,0.0,121.66861724853516,0.10739745300632372,0.202851470280166,0.0,0.0,0.26542928658863196,0.0,0.0,0.3510565459147157,0.0,0.0,0.26542928658863196,0.0,0.0,3410542.089022777,0.043590343663113096,238733292669.84543,2.9725069057517928e-05,8.220515356432454e+16,-0.11871037893800107
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,899.9999761581421,4096,2.313788523184518,0.99823634294266,1.255641368658189e-09,2313788.5231845183,238740389009.0003,1.819646467400644e+17,203.92996215820312,0.8599310933723222,0.0,0.0,164.45693969726562,0.0977186223281565,0.21472504795253003,0.0,0.0,0.2693039126875532,0.0,0.0,0.3416245098123543,0.0,0.0,0.2693039126875532,0.0,0.0,2174654.2046287498,0.06397997357907359,238733292669.84543,2.9724966616573312e-05,2.021926918134987e+17,-0.10004340360675612
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,1200.0000476837158,4096,1.4683080179529968,0.9982363471909491,5.5114361963148895e-09,1468308.0179529968,238740390025.03046,4.130772019453061e+17,265.7911376953125,0.9185705206834922,0.0,0.0,221.45901489257812,0.07657541529232094,0.2154869231245502,0.0,0.0,0.27561432055272095,0.0,0.0,0.3712630949642116,0.0,0.0,0.27561432055272095,0.0,0.0,1386618.2972187817,0.05891291128788989,238733292669.84543,2.9729222537966393e-05,4.97315526712769e+17,-0.16938607431839914
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,1500.0,4096,0.9536448892195721,0.9982363462207432,4.539516318402548e-09,953644.8892195722,238740389792.99387,9.809830049124017e+17,331.5608825683594,0.9479005718925683,0.0,0.0,291.6223449707031,0.09474758677491646,0.20508927380810008,0.0,0.0,0.2669714334857731,0.0,0.0,0.36456058967158034,0.0,0.0,0.2669714334857731,0.0,0.0,884145.4617925527,0.07860632716036742,238733292669.84543,2.9728250589000638e-05,1.2232026906685448e+18,-0.19802089024490066
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,1799.9999523162842,4096,0.6079147444328967,0.9982363490801172,7.40394212606077e-09,607914.7444328967,238740390476.84802,2.288374645573929e+18,464.6542663574219,0.9678560313333816,0.0,0.0,381.28570556640625,0.12102230266726441,0.23055611624730746,0.0,0.0,0.2933862475313502,0.0,0.0,0.3917942656601114,0.0,0.0,0.2933862475313502,0.0,0.0,563755.1438462138,0.0783311710211716,238733292669.84543,2.9731115100073424e-05,3.0086026719268946e+18,-0.23938954554330938
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,2099.9999046325684,4096,0.38899097252933973,0.9982363458098371,4.127884256632797e-09,388990.9725293397,238740389694.72076,5.880164233382944e+18,605.3660278320312,0.9796563312132827,0.0,0.0,560.4948120117188,0.1377517063584693,0.22110928982159003,0.0,0.0,0.2730609672411078,0.0,0.0,0.3612649086911525,0.0,0.0,0.2730609672411078,0.0,0.0,359465.58111456485,0.08213690813798635,238733292669.84543,2.9727838945170504e-05,7.39999192822117e+18,-0.20538234495122842
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,2400.0000953674316,4096,0.2469837074561349,0.9982363503721227,8.698230136161555e-09,246983.7074561349,238740390785.84695,1.4537190831625796e+19,835.8274536132812,0.9870679693543237,0.0,0.0,738.7962036132812,0.1215611527790539,0.21769854330419258,0.0,0.0,0.29594197648499876,0.0,0.0,0.3999923435137174,0.0,0.0,0.29594197648499876,0.0,0.0,229204.92913507385,0.07756717269628943,238733292669.84543,2.973240942694133e-05,1.8201113831406539e+19,-0.2013021309420383
golovin_fixed10_high_resolution_screen_v2_N004096_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,0,0,not_applicable,12181403248578735360,4096,0.1,300.0,3600.0,2700.000047683716,4096,0.15846441101722647,0.9982363487297773,7.0529833084975735e-09,158464.41101722646,238740390393.06,3.4204084463377367e+19,1043.380126953125,0.9917774522251915,0.010073953213817611,0.010073953213817611,1006.4139404296875,0.13387560139034588,0.21706393155967452,0.0,0.0,0.3088773020376343,0.0,0.0,0.4398974252658337,0.0,0.0,0.3088773020376343,0.0,0.0,146147.28387886327,0.08427886452253519,238733292669.84543,2.973076413104181e-05,4.476765798748041e+19,-0.23596439927809543
