matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,1.095596235956009e-09,2.5334027130182614e-10,8.011322803587611e-11,9.143675233197659e-10,1.276824948592252e-09,9.521040361670786e-10,1.2486623823804165e-09,0.23123506907703398
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,16384,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,16384,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,2.6297338417968773e-09,8.42474084232863e-10,2.664136975840396e-10,2.0270641875395873e-09,3.2324034960541673e-09,2.1601536026594206e-09,3.1462479563315603e-09,0.320364772602693
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,262144,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,262144,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,7.293001980102076e-10,1.3862868058347168e-10,4.3838237966773045e-11,6.301312139892197e-10,8.284691820311956e-10,6.551972520085769e-10,8.164859899295607e-10,0.1900845234400051
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,32768,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,32768,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,1.9202745504820484e-09,3.5293001836744354e-10,1.1160627126861825e-10,1.6678036245185442e-09,2.172745476445553e-09,1.720020513518161e-09,2.135441159456519e-09,0.18379143663537445
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,4096,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3029.9999952316284,94.86831472613646,29.999995231628418,2962.1352911344884,3097.8646993287684,3000.0,3089.9999856948853,0.0313096748763804
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,4096,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,1.0629107660697911e-08,1.8728872434296764e-09,5.922589489912003e-10,9.28932483700613e-09,1.1968890484389692e-08,9.545382923525915e-09,1.170444349718469e-08,0.17620361964672224
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,524288,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,524288,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,4.087724159163031e-10,9.696593887714209e-11,3.06633222308439e-11,3.3940716189661015e-10,4.78137669935996e-10,3.551430652337651e-10,4.68614172188797e-10,0.23721252976374033
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,65536,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,65536,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,2.0433422953658464e-09,3.717803204202361e-10,1.1756726017551546e-10,1.777386675649244e-09,2.309297915082449e-09,1.8306551113900225e-09,2.269792533926562e-09,0.18194715651088278
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,8192,0.1,300.0,3600.0,tail_onset_first_recorded_crossing_s,10,10,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,8192,0.1,300.0,3600.0,maximum_absolute_liquid_mass_drift,10,10,4.785183693734041e-09,8.023218448237452e-10,2.5371644461512104e-10,4.21123722122825e-09,5.359130166239831e-09,4.283287347028875e-09,5.239249836752612e-09,0.1676679300471465
