matrix_stage,initialization_family,kernel,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,time_s,metric,n_total,n_valid,mean,sample_standard_deviation,standard_error,student_ci_low,student_ci_high,bootstrap_ci_low,bootstrap_ci_high,coefficient_of_variation
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative,10,10,0.000526472279633515,0.0,0.0,0.000526472279633515,0.000526472279633515,0.000526472279633515,0.000526472279633515,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_250,10,10,0.0008909397221417918,1.142849436385645e-19,3.614007241618348e-20,0.0008909397221417917,0.0008909397221417919,0.0008909397221417918,0.0008909397221417918,1.2827460803277128e-16
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_500,10,10,0.000526472279633515,0.0,0.0,0.000526472279633515,0.000526472279633515,0.000526472279633515,0.000526472279633515,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_fixed_bin_l1_relative_bins_1000,10,10,0.0019082031904375598,0.0,0.0,0.0019082031904375598,0.0019082031904375598,0.0019082031904375598,0.0019082031904375598,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,radius_moment_0_m3,10,10,8388608.0,0.0,0.0,8388608.0,8388608.0,8388608.0,8388608.0,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,radius_moment_3_um3_m3,10,10,238740390072.95685,3.2168351849043574e-05,1.0172526041666666e-05,238740390072.95682,238740390072.95688,238740390072.95685,238740390072.95685,1.3474197574701636e-16
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,radius_moment_6_um6_m3,10,10,1.3588188822398414e+16,0.0,0.0,1.3588188822398414e+16,1.3588188822398414e+16,1.3588188822398414e+16,1.3588188822398414e+16,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_3_um3_m3,10,10,2.9729423290714152e-05,0.0,0.0,2.9729423290714152e-05,2.9729423290714152e-05,2.9729423290714152e-05,2.9729423290714152e-05,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-1.0357278715011908e-05,0.0,0.0,-1.0357278715011908e-05,-1.0357278715011908e-05,-1.0357278715011908e-05,-1.0357278715011908e-05,0.0
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,liquid_water_gm3,10,10,0.998236347391342,1.1702778228589004e-16,3.700743415417188e-17,0.9982363473913419,0.9982363473913421,0.998236347391342,0.998236347391342,1.172345432939953e-16
golovin_fixed10_high_resolution_screen_v2,controlled,golovin,131072,0.1,300.0,3600.0,0.0,relative_liquid_mass_drift,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
