lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_n_members,upper_n_members,estimated_difference_lower_minus_upper,95ci_low,95ci_high,equivalence_margin,equivalence_pass
4096,8192,600.0,ensemble_mean_l1_bins_250,10,10,0.0131760017815266,-0.0068113795215840834,0.04556560491617798,0.01,False
4096,8192,600.0,ensemble_mean_l1_bins_500,10,10,0.025529610969639266,0.0026588146511828136,0.06840776086081012,0.01,False
4096,8192,600.0,ensemble_mean_l1_bins_1000,10,10,0.03606515068412311,0.008931014718385696,0.08769490868929049,0.01,False
4096,8192,600.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0017680103903905285,-0.013944742773037887,0.017480763553818945,0.05,True
4096,8192,600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.014807790167809089,-0.05655587173122858,0.026940291395610404,0.05,False
4096,8192,1200.0,ensemble_mean_l1_bins_250,10,10,0.01799069746719295,0.0025904739434530226,0.05046204159037773,0.01,False
4096,8192,1200.0,ensemble_mean_l1_bins_500,10,10,0.02605479337003528,0.0060201967632818355,0.06415770425875776,0.01,False
4096,8192,1200.0,ensemble_mean_l1_bins_1000,10,10,0.04260543425309708,0.014223230989347942,0.0944079798528757,0.01,False
4096,8192,1200.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0004643510541101122,-0.0224246234227092,0.02149592131448897,0.05,True
4096,8192,1200.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.0034343450164705633,-0.06462592113731895,0.057757231104377825,0.05,False
4096,8192,1800.0,ensemble_mean_l1_bins_250,10,10,0.019301948870652133,0.0029853044274831147,0.05330011104137108,0.01,False
4096,8192,1800.0,ensemble_mean_l1_bins_500,10,10,0.028571280234212744,0.005614377383910573,0.07258798507434693,0.01,False
4096,8192,1800.0,ensemble_mean_l1_bins_1000,10,10,0.03219510318470267,0.005678799822855556,0.09271290269910219,0.01,False
4096,8192,1800.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0014228799047246157,-0.02533254581770738,0.028178305627156612,0.05,True
4096,8192,1800.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.00791241527663401,-0.08749603956191432,0.07167120900864629,0.05,False
4096,8192,2400.0,ensemble_mean_l1_bins_250,10,10,0.018921178045151275,-0.001219558430183586,0.05462297245844155,0.01,False
4096,8192,2400.0,ensemble_mean_l1_bins_500,10,10,0.02347062866831577,0.0005419583878702669,0.0694115354933157,0.01,False
