max_superdroplets,time_s,metric,ensemble_size,sampling_method,random_subset_draws,full_ensemble_size,full_ensemble_estimate,subset_median,subset_95pct_low,subset_95pct_high,subset_95pct_half_width
4096,3600.0,ensemble_mean_l1_bins_500,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.12352750422249512,0.17413179773920492,0.15138428549693772,0.19161214402397964,0.020113929263520958
4096,3600.0,golovin_relative_error_radius_moment_0_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.009553057932463716,0.009920917126941986,-0.013170029003961248,0.032276144868888676,0.022723086936424962
4096,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,-0.05397727329476537,-0.05318873881807262,-0.1285300888492616,0.02057554225973084,0.07455281555449622
4096,3600.0,ensemble_mean_l1_bins_500,10,random_subsets_without_replacement_from_complete_pool,1,10,0.12352750422249512,0.12352750422249512,0.12352750422249512,0.12352750422249512,0.0
4096,3600.0,golovin_relative_error_radius_moment_0_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,0.009553057932463716,0.009553057932463716,0.009553057932463716,0.009553057932463716,0.0
4096,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,-0.05397727329476537,-0.05397727329476537,-0.05397727329476537,-0.05397727329476537,0.0
8192,3600.0,ensemble_mean_l1_bins_500,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.08947851917725429,0.12830782540388577,0.11668154016151298,0.14172361867302244,0.012521039255754728
8192,3600.0,golovin_relative_error_radius_moment_0_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.003496053268424881,0.0034767365284090745,-0.006184049582539375,0.013105456825297734,0.009644753203918555
8192,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,-0.03466387042393219,-0.03396988792278297,-0.08055768073444576,0.011229939886581386,0.04589381031051357
8192,3600.0,ensemble_mean_l1_bins_500,10,random_subsets_without_replacement_from_complete_pool,1,10,0.08947851917725429,0.08947851917725429,0.08947851917725429,0.08947851917725429,0.0
8192,3600.0,golovin_relative_error_radius_moment_0_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,0.003496053268424881,0.003496053268424881,0.003496053268424881,0.003496053268424881,0.0
8192,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,-0.03466387042393219,-0.03466387042393219,-0.03466387042393219,-0.03466387042393219,0.0
16384,3600.0,ensemble_mean_l1_bins_500,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.05900088382586897,0.08804836603164845,0.07395066667854573,0.10211855612768765,0.01408394472457096
16384,3600.0,golovin_relative_error_radius_moment_0_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,0.0026897823477396885,0.0026066716934723955,-0.006480138335986751,0.01118763554580291,0.00883388694089483
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,5,random_subsets_without_replacement_from_complete_pool,2000,10,-0.03273548713950125,-0.032500554089022325,-0.07532239510112773,0.012962507383234678,0.044142451242181205
16384,3600.0,ensemble_mean_l1_bins_500,10,random_subsets_without_replacement_from_complete_pool,1,10,0.05900088382586897,0.05900088382586897,0.05900088382586897,0.05900088382586897,0.0
16384,3600.0,golovin_relative_error_radius_moment_0_m3,10,random_subsets_without_replacement_from_complete_pool,1,10,0.0026897823477396885,0.0026897823477396885,0.0026897823477396885,0.0026897823477396885,0.0
