ensemble_size,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,full50_point_difference_lower_minus_upper,projected_95ci_low,projected_95ci_high,equivalence_margin,equivalence_pass
5,4096,8192,600.0,ensemble_mean_l1_bins_500,0.010646443679656024,0.0033377965884995526,0.06599777545682906,0.01,False
5,4096,8192,600.0,golovin_relative_error_radius_moment_0_m3,0.002918019986929295,-0.026501804650135467,0.032337844623994055,0.05,True
5,4096,8192,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.009391378343555325,-0.07894239677645805,0.06015964008934739,0.05,False
5,4096,8192,1200.0,ensemble_mean_l1_bins_500,0.01032932340727128,0.0066262858136813055,0.06757054207012901,0.01,False
5,4096,8192,1200.0,golovin_relative_error_radius_moment_0_m3,0.0011462970863592092,-0.03145608000933446,0.03374867418205288,0.05,True
5,4096,8192,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.009496849491848577,-0.11915655817980662,0.10016285919610947,0.05,False
5,4096,8192,1800.0,ensemble_mean_l1_bins_500,0.010539323146189473,0.006316455172097276,0.06904098226857609,0.01,False
5,4096,8192,1800.0,golovin_relative_error_radius_moment_0_m3,-0.002686110060303406,-0.038352172893629036,0.03297995277302222,0.05,True
5,4096,8192,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005732354361670149,-0.1387441176476499,0.12727940892430958,0.05,False
5,4096,8192,2400.0,ensemble_mean_l1_bins_500,0.014121665108384713,0.008748171915542727,0.07420956353203474,0.01,False
5,4096,8192,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0015882544173717438,-0.040361455540913214,0.03718494670616972,0.05,True
5,4096,8192,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0011396646773432668,-0.15010926459314583,0.15238859394783238,0.05,False
5,4096,8192,3000.0,ensemble_mean_l1_bins_500,0.016170966190678197,0.006545369789370001,0.0829668236132613,0.01,False
5,4096,8192,3000.0,golovin_relative_error_radius_moment_0_m3,-7.9981786087523e-06,-0.03888950334213374,0.03887350698491623,0.05,True
5,4096,8192,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.009258408735591106,-0.185714457433117,0.2042312749042992,0.05,False
5,4096,8192,3600.0,ensemble_mean_l1_bins_500,0.01523766158126355,0.007439028360718312,0.09886638912534643,0.01,False
5,4096,8192,3600.0,golovin_relative_error_radius_moment_0_m3,0.00011808026243442554,-0.03915891266254951,0.03939507318741837,0.05,True
5,4096,8192,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011400566122131662,-0.23094540409528752,0.2081442718510242,0.05,False
5,8192,16384,600.0,ensemble_mean_l1_bins_500,0.00447613162721236,0.0030333370645717573,0.04789251332031068,0.01,False
5,8192,16384,600.0,golovin_relative_error_radius_moment_0_m3,-0.0005037539747149311,-0.0195704769285435,0.01856296897911364,0.05,True
5,8192,16384,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006482440720361811,-0.0636298607391709,0.05066497929844727,0.05,False
5,8192,16384,1200.0,ensemble_mean_l1_bins_500,0.011324354208979644,0.003500532653868121,0.04755660122360185,0.01,False
5,8192,16384,1200.0,golovin_relative_error_radius_moment_0_m3,-0.0025524423585875965,-0.027291975172236846,0.022187090455061655,0.05,True
5,8192,16384,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.0025103638737196702,-0.07594986599710647,0.08097059374454581,0.05,False
5,8192,16384,1800.0,ensemble_mean_l1_bins_500,0.00480244635985496,0.005699849672387405,0.04990039147491266,0.01,False
5,8192,16384,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0011936271905278305,-0.02711939067773568,0.024732136296680016,0.05,True
5,8192,16384,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0013483605455431504,-0.1000434813360194,0.0973467602449331,0.05,False
5,8192,16384,2400.0,ensemble_mean_l1_bins_500,0.00466168817817194,0.005195162550800025,0.051864285051468645,0.01,False
5,8192,16384,2400.0,golovin_relative_error_radius_moment_0_m3,0.0016517359100811733,-0.02688082309775411,0.03018429491791646,0.05,True
5,8192,16384,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.010217970884599333,-0.12672051600685438,0.10628457423765572,0.05,False
5,8192,16384,3000.0,ensemble_mean_l1_bins_500,0.012827281353564531,0.007896726989413844,0.06452532830413839,0.01,False
5,8192,16384,3000.0,golovin_relative_error_radius_moment_0_m3,0.000918970439858131,-0.026820908076182405,0.028658848955898666,0.05,True
5,8192,16384,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006490784661598115,-0.14108697637494955,0.12810540705175333,0.05,False
5,8192,16384,3600.0,ensemble_mean_l1_bins_500,0.013202520108023919,0.009342060866562371,0.07388681060509245,0.01,False
5,8192,16384,3600.0,golovin_relative_error_radius_moment_0_m3,0.0010989830137686663,-0.026871436526536063,0.0290694025540734,0.05,True
5,8192,16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.009531054400332403,-0.16485669436286976,0.18391880316353454,0.05,False
5,16384,32768,600.0,ensemble_mean_l1_bins_500,0.006161136760722852,0.0032443495976740527,0.03523433327318043,0.01,False
5,16384,32768,600.0,golovin_relative_error_radius_moment_0_m3,-8.014604561796591e-05,-0.01268918174526546,0.012528889654029528,0.05,True
5,16384,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.01173651583644503,-0.031305285814266434,0.05477831748715649,0.05,False
5,16384,32768,1200.0,ensemble_mean_l1_bins_500,0.005853257028353542,0.004742021443028155,0.03561823442540846,0.01,False
5,16384,32768,1200.0,golovin_relative_error_radius_moment_0_m3,0.0040571288564103655,-0.011155223540485423,0.019269481253306152,0.05,True
5,16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.009304513644161018,-0.052369800435330176,0.07097882772365222,0.05,False
5,16384,32768,1800.0,ensemble_mean_l1_bins_500,0.0072090668655704175,0.003178655911949214,0.03472129726094462,0.01,False
5,16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.0034602455734436075,-0.014856674079578512,0.02177716522646573,0.05,True
5,16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.007117916265123314,-0.06478561806777604,0.07902145059802267,0.05,False
5,16384,32768,2400.0,ensemble_mean_l1_bins_500,0.00751030049743337,0.005547636446918195,0.03806377759318887,0.01,False
5,16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.0024852759826798354,-0.01599876380647321,0.02096931577183288,0.05,True
5,16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.009559972069699996,-0.06772656313356759,0.08684650727296758,0.05,False
