ensemble_size,selected_max_superdroplets,target_131072_selected,accepted_candidates
5,,False,
6,,False,
7,,False,
8,,False,
9,,False,
10,262144,False,262144
11,262144,False,262144
12,262144,False,262144
13,262144,False,262144
14,262144,False,262144
15,262144,False,262144
16,262144,False,262144
17,262144,False,262144
18,131072,True,131072;262144
19,131072,True,131072;262144
20,131072,True,131072;262144
21,131072,True,131072;262144
22,131072,True,131072;262144
23,131072,True,131072;262144
24,131072,True,131072;262144
25,131072,True,131072;262144
26,131072,True,131072;262144
27,131072,True,131072;262144
28,131072,True,131072;262144
29,131072,True,131072;262144
30,131072,True,131072;262144
31,131072,True,131072;262144
32,131072,True,131072;262144
33,131072,True,131072;262144
34,131072,True,131072;262144
35,131072,True,131072;262144
36,131072,True,131072;262144
37,131072,True,131072;262144
38,131072,True,131072;262144
39,131072,True,131072;262144
40,131072,True,131072;262144
41,131072,True,131072;262144
42,131072,True,131072;262144
43,131072,True,131072;262144
44,131072,True,131072;262144
45,131072,True,131072;262144
46,131072,True,131072;262144
47,131072,True,131072;262144
48,131072,True,131072;262144
49,131072,True,131072;262144
50,131072,True,131072;262144
