run_label,path,sha256
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m000,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m000/analysis_stage0_v2/fixed_bin_distributions.npz,22f8806e62ae4d47eadf6d3956cfc77919e24ddc71f886fc6ede79ea05758ac1
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m001,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m001/analysis_stage0_v2/fixed_bin_distributions.npz,3f309a209628c189db8cf685c55be5ef2b2b87961597389faaa8c451ea9c33ce
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m002,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m002/analysis_stage0_v2/fixed_bin_distributions.npz,025effc0ac968c23216edd8ace211cc9f00f3ac90b4261499160a5ecfbe5fc01
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m003,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m003/analysis_stage0_v2/fixed_bin_distributions.npz,318673f1f61cda194ea6514d4a919793ef160056c2e8de792333f9226de0b209
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m004,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m004/analysis_stage0_v2/fixed_bin_distributions.npz,f26cb7b966e6877b89eca0e7d3a5b179b0e4f681524da9ec7d4f09e328cf4e44
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m005,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m005/analysis_stage0_v2/fixed_bin_distributions.npz,8dbab21bc75c765182be439690d0a424eb81e9ea534db0f8638406fd0df0ad0d
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m006,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m006/analysis_stage0_v2/fixed_bin_distributions.npz,a128f25e20c75e669dc9e53e69748e1a412761a92d11bb5795bc67e9c4cae35f
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m007,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m007/analysis_stage0_v2/fixed_bin_distributions.npz,e9bdbbbfd830e58852cc137cf6742558103522239f4ca411917a30f9df4bd7f5
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m008,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m008/analysis_stage0_v2/fixed_bin_distributions.npz,acf3153b052600a4239796572592f0d2eabc43c469197d52f7b819423facad8c
golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m009,golovin_fixed50_extended_resolution_convergence_v1_N004096_dt0p1_m009/analysis_stage0_v2/fixed_bin_distributions.npz,b22795c6327456b8f255770edb59e5c40bf2b46fd259d8d1222a066c5f1a01e7
